Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Coachella,April,4,1,USA,3.2,651.5
Coachella,April,4,2,MEX,1.8,293.0
Coachella,April,4,3,IND,0.87,77.9
Coachella,April,4,4,BRA,0.62,81.0
Coachella,April,4,5,ARG,0.48,26.4
Coachella,April,4,6,GBR,0.33,128.8
Coachella,April,4,7,PHL,0.33,69.8
Coachella,April,4,8,IDN,0.32,101.9
Coachella,April,4,9,COL,0.30,49.9
Coachella,April,4,10,PER,0.25,23.7
