Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_B
Coachella,April,4,1,USA,1.7
Coachella,April,4,2,BRA,0.59
Coachella,April,4,3,MEX,0.38
Coachella,April,4,4,IDN,0.23
Coachella,April,4,5,GBR,0.22
Coachella,April,4,6,IND,0.20
Coachella,April,4,7,ARG,0.15
Coachella,April,4,8,PHL,0.15
Coachella,April,4,9,COL,0.14
Coachella,April,4,10,FRA,0.12
