Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Graspop Metal Meeting,June,6,1,USA,138.6
Graspop Metal Meeting,June,6,2,BRA,43.3
Graspop Metal Meeting,June,6,3,MEX,21.3
Graspop Metal Meeting,June,6,4,GBR,21.1
Graspop Metal Meeting,June,6,5,IDN,16.6
Graspop Metal Meeting,June,6,6,DEU,15.6
Graspop Metal Meeting,June,6,7,CAN,13.6
Graspop Metal Meeting,June,6,8,RUS,13.1
Graspop Metal Meeting,June,6,9,ITA,11.6
Graspop Metal Meeting,June,6,10,ARG,10.6
