rank,subgenre,parent_genre,points
1,Alternative Hip Hop,Hip Hop,1800
2,Gospel,Religious,1600
3,Afrobeat,African,1400
4,Contemporary Hip Hop,Hip Hop,750
5,House,Electronic,600
6,Minimal Techno,Electronic,600
7,Neo Soul,R&B,600
8,Contemporary R&B,R&B,459
9,Soul,R&B,459
10,Alté,African,250
