section,metric,value,notes
Nigeria Overview,Radio Stations,365,Overall
Nigeria Overview,Artists,10000,Overall
Nigeria Overview,Venues,202,Overall
Nigeria Overview,Festivals,9,Overall
Nigeria Overview,Events,N/A,2 years
