list_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Events,1,Burna Boy,NGA,215,1,African
Events,2,Ne-Yo,USA,221,7,R&B
Events,3,Wizkid,NGA,255,2,African
Events,4,Davido,NGA,298,3,African
Events,5,Ayra Starr,NGA,391,4,African
Events,6,Rema,NGA,401,5,African
Events,7,Omah Lay,NGA,558,8,African
Events,8,Fireboy DML,NGA,1093,15,African
