rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Lagos,116,8,1,Religious,African,R&B
2,Anaocha,0,1,0,,,
3,Abuja,16,0,5,,,
4,Ikoyi,6,0,2,,,
5,Gwarinpa,2,0,1,,,
6,Kaduna,3,0,1,,,
7,Ibadan,6,0,1,,,
8,Nsukka,1,0,1,,,
9,Calabar,2,0,0,,,
10,Port Harcourt,13,0,0,,,
