rank,city,venues,festivals,events
1,Villa Crespo,36,0,257
2,Buenos Aires City,744,8,1065
3,Rosario,102,1,125
4,Vicente López,6,0,16
5,Cordoba,177,1,179
6,Villa Martelli,6,2,15
7,La Plata,79,0,92
8,San Isidro,9,1,8
9,Villa Elvira,4,0,6
10,Neuquen,33,0,33
