platform,genre,share_percent
Overall,Pop,46
Overall,Rock,19
Overall,Hip Hop,17
Overall,Other,18
YouTube,Pop,45
YouTube,Rock,20
YouTube,Hip Hop,18
YouTube,Other,17
Deezer,Pop,67
Deezer,Hip Hop,23
Deezer,R&B,12
Deezer,Other,-2
