rank,city,venues,festivals,events
1,Toronto,515,18,6954
2,Montreal,260,16,3716
3,Vancouver,263,7,3657
4,Quebec,131,4,1409
5,Calgary,171,4,1344
6,Ottawa,109,3,1226
7,Edmonton,114,4,1100
8,Winnipeg,68,6,889
9,Laval,17,1,195
10,Windsor,35,0,242
