rank,subgenre,parent_genre,points_million
1,Mainstream Pop,Pop,11.8
2,Contemporary Country,Country,7.9
3,Indie Pop,Pop,7.7
4,Alternative Rock,Rock,6.9
5,Pop Rock,Rock,6.2
6,Indie Rock,Rock,4.5
7,Contemporary Hip Hop,Hip Hop,3.5
8,Hard Rock,Rock,3.3
9,Americana/Alt Country,Country,2.8
10,Folk Rock,Rock,2.8
