genre,share_percent,size,size_share_percent
Electronic,28,Medium,39
Electronic,28,Big,24
Electronic,28,Huge,18
Electronic,28,Other,19
Rock,22,Medium,35
Rock,22,Huge,24
Rock,22,Small,20
Rock,22,Other,21
Pop,21,Huge,33
Pop,21,Big,26
Pop,21,Medium,23
Pop,21,Other,18
Other,29,,
