rank,city,venues,festivals,events
1,London,1425,99,29486
2,Manchester,584,28,7883
3,Glasgow,494,15,5939
4,Birmingham,420,19,3477
5,Leeds,350,16,3851
6,Bristol,441,19,5327
7,Newcastle upon Tyne,99,9,2653
8,Belfast,216,7,1373
9,Nottingham,364,14,2812
10,Liverpool,445,17,2421
