platform,genre,share_percent
Overall,Pop,40
Overall,Rock,21
Overall,Hip Hop,17
Overall,Other,22
YouTube,Pop,41
YouTube,Hip Hop,19
YouTube,Rock,17
YouTube,Other,23
Deezer,Rock,48
Deezer,Pop,43
Deezer,R&B,5
Deezer,Other,4
