rank,subgenre,parent_genre,points_million
1,Mainstream Pop,Pop,31.5
2,Alternative Rock,Rock,22.5
3,Indie Pop,Pop,17.1
4,Indie Rock,Rock,15.9
5,Pop Rock,Rock,14.2
6,Contemporary R&B,R&B,6.7
7,Folk Rock,Rock,6.5
8,Dance,Electronic,5.9
9,Hard Rock,Rock,5.5
10,House,Electronic,5.3
