Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_M,Spotify_Listeners_Monthly_M
Parookaville,July,7,1,USA,195.5,38.5
Parookaville,July,7,2,DEU,118.5,163.2
Parookaville,July,7,3,MEX,93.2,22.7
Parookaville,July,7,4,BRA,90.6,21.7
Parookaville,July,7,5,IND,87.9,7.0
Parookaville,July,7,6,POL,82.4,16.8
Parookaville,July,7,7,FRA,77.6,11.6
Parookaville,July,7,8,GBR,74.3,30.1
Parookaville,July,7,9,ITA,48.1,13.4
Parookaville,July,7,10,UKR,43.8,0.0412
