Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Primavera Sound Barcelona,June,6,1,USA,1.3,306.5
Primavera Sound Barcelona,June,6,2,MEX,0.5798,116.3
Primavera Sound Barcelona,June,6,3,ARG,0.4292,27.0
Primavera Sound Barcelona,June,6,4,BRA,0.2155,30.7
Primavera Sound Barcelona,June,6,5,PER,0.1616,16.3
Primavera Sound Barcelona,June,6,6,COL,0.1598,30.1
Primavera Sound Barcelona,June,6,7,IND,0.1509,9.8
Primavera Sound Barcelona,June,6,8,GBR,0.1494,76.2
Primavera Sound Barcelona,June,6,9,ESP,0.1418,51.0
Primavera Sound Barcelona,June,6,10,CHL,0.1194,32.9
