Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Rock in Rio Brazil,September,9,Gender,Female,2.5,56.3
Rock in Rio Brazil,September,9,Gender,Male,2.0,43.7
