Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Rock in Rio Brazil,2024,September,9,Mainstream Pop,Pop,304.76
Rock in Rio Brazil,2024,September,9,Trap,Hip Hop,152.21
Rock in Rio Brazil,2024,September,9,Contemporary Hip Hop,Hip Hop,146.88
Rock in Rio Brazil,2024,September,9,Latin Pop,Pop,108.63
Rock in Rio Brazil,2024,September,9,Funk Carioca,Latin,99.89
Rock in Rio Brazil,2024,September,9,Pop Rock,Rock,89.44
Rock in Rio Brazil,2024,September,9,Alternative Rock,Rock,73.92
Rock in Rio Brazil,2024,September,9,Contemporary R&B,R&B,69.09
Rock in Rio Brazil,2024,September,9,Reggaeton,Latin,48.03
Rock in Rio Brazil,2024,September,9,Samba,Latin,42.83
Rock in Rio Brazil,2022,September,9,Mainstream Pop,Pop,392.57
Rock in Rio Brazil,2022,September,9,Dance,Electronic,77.64
Rock in Rio Brazil,2022,September,9,Alternative Hip Hop,Hip Hop,72.00
Rock in Rio Brazil,2022,September,9,Trap,Hip Hop,71.95
Rock in Rio Brazil,2022,September,9,Alternative Rock,Rock,69.06
Rock in Rio Brazil,2022,September,9,Pop Rock,Rock,63.65
Rock in Rio Brazil,2022,September,9,Funk Carioca,Latin,39.70
Rock in Rio Brazil,2022,September,9,Punk Rock,Punk,36.47
Rock in Rio Brazil,2022,September,9,Latin Pop,Pop,48.09
Rock in Rio Brazil,2022,September,9,Pop Punk,Punk,30.20
Rock in Rio Brazil,2021,September/October,9,Heavy Metal,Metal,9.72
Rock in Rio Brazil,2021,September/October,9,Thrash Metal,Metal,6.18
Rock in Rio Brazil,2021,September/October,9,Alternative Rock,Rock,1.41
Rock in Rio Brazil,2021,September/October,9,Progressive Metal,Metal,1.32
Rock in Rio Brazil,2021,September/October,9,Groove Metal,Metal,1.32
Rock in Rio Brazil,2021,September/October,9,Funk Rock,Rock,0.70
Rock in Rio Brazil,2021,September/October,9,Progressive Rock,Rock,0.70
Rock in Rio Brazil,2019,September/October,9,Mainstream Pop,Pop,154.52
Rock in Rio Brazil,2019,September/October,9,Pop Rock,Rock,137.06
Rock in Rio Brazil,2019,September/October,9,Alternative Rock,Rock,129.80
Rock in Rio Brazil,2019,September/October,9,Contemporary Hip Hop,Hip Hop,79.12
Rock in Rio Brazil,2019,September/October,9,Latin Pop,Pop,52.03
Rock in Rio Brazil,2019,September/October,9,Dance,Electronic,45.25
Rock in Rio Brazil,2019,September/October,9,Hard Rock,Rock,24.74
Rock in Rio Brazil,2019,September/October,9,Funk Carioca,Latin,27.41
Rock in Rio Brazil,2019,September/October,9,Funk Rock,Rock,20.38
Rock in Rio Brazil,2019,September/October,9,Nova MPB,Latin,14.95
