platform,genre,share_percent
Overall,Latin,67
Overall,Pop,21
Overall,Hip Hop,9
Overall,Other,3
YouTube,Latin,68
YouTube,Pop,20
YouTube,Hip Hop,8
YouTube,Other,4
Deezer,Latin,65
Deezer,Pop,22
Deezer,Rock,8
Deezer,Other,5
