rank,subgenre,parent_genre,points_thousand
1,Latin Pop,Pop,1400.0
2,Mainstream Pop,Pop,517.1
3,Salsa,Latin,400.7
4,Pop Rock,Rock,361.5
5,Alternative Rock,Rock,314.5
6,Reggaeton,Latin,262.8
7,Indie Pop,Pop,219.6
8,Other Latin Music,Latin,192.3
9,Heavy Metal,Metal,148.6
10,Regional Mexican Music,Latin,143.3
