rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Bogota D.C.,292,17,384,Pop,Rock,Latin
2,Medellin,235,0,169,,,
3,La Soledad,59,0,87,,,
4,Cali,133,0,26,,,
5,Soledad,1,0,2,,,
6,Pereira,35,0,13,,,
7,Bucaramanga,32,0,6,,,
8,Santa Fe de Antioquia,9,5,26,,,
9,Cartagena,60,2,3,,,
10,Santander de Quilichao,1,0,7,,,
