section,metric,value,notes
Colombia Overview,Radio Stations,3200,Overall
Colombia Overview,Artists,9700,Overall
Colombia Overview,Venues,1300,Overall
Colombia Overview,Festivals,29,Overall
Colombia Overview,Events,382,2 years
