rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Merksem,6,0,169,Pop,Rock,Electronic
2,Brussels,195,14,1283,,,
3,Antwerp,140,21,1313,,,
4,Vorst,9,0,192,,,
5,Sint-Joost-ten-Node,22,1,735,,,
6,Ghent,117,5,520,,,
7,Boom,4,1,28,,,
8,Lokeren,11,1,29,,,
9,Dessel,5,0,13,,,
10,Hasselt,25,5,147,,,
