section,metric,value,notes
Belgium Overview,Radio Stations,540,Overall
Belgium Overview,Artists,9600,Overall
Belgium Overview,Venues,2000,Overall
Belgium Overview,Festivals,206,Overall
Belgium Overview,Events,3800,2 years
