"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"16","Cyran","United States","Electronic","Big Indie Labels","6873","289242","1","8587","563","1256627","-11","1118","54929","6221","1000","764000","939975","344299594","20260","8406250","1231","-1919","3024189","20585","0","-1301","1269885","5416","-324","499850","0","407","1","4671","843","0","365735","0","0","0","78386","50","2","9","3.4406505516498163","44.3485658724339"
"17","Lilly Palmer","Netherlands","Electronic","Big Indie Labels, Universal Music Group","6981","12591","951","231422","993451","165224391","-141415","1268938","13275483","14479","1000","278000","282207","58129701","5430","1305692","2745","1030","660660","28650","0","1802","1710549","51206","1215","926218","107","9467","207","78834","29502","6","11033","635","21","62","404","71","38","2768","139.78126630163754","19914.830555083077"
"18","Novah","Belgium","Electronic","Universal Music Group, BMG, Big Indie Labels","7042","12942","3319","224814","1207375","34442471","12738","1444257","5530963","N/A","N/A","N/A","N/A","N/A","N/A","N/A","384","3151","847866","127022","0","26368","1843833","187536","84","7955","N/A","N/A","733","59143","28613","51","425188","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Nicolas Julian","Germany","Electronic","Sony Music Entertainment","7236","6875","525","167336","2408433","405783986","2819","2440777","11778844","15175","0","192000","373924","83632853","3692","1485992","7210","146","2427721","75515","0","655","263259","4552","2622","28266","56","5181","124","63251","46190","91","38380","78","8","28","2393","37","18","2346","65.53313920179629","1540.817801684715"
"20","Tribbs","Poland","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","8091","3465","135","174496","2072872","793796862","-85071","3764095","65159702","14551","0","311000","81241","281418619","266","1462890","15557","207","712119","8680","0","774","180060","4346","33","154085","4","3383","0","1494","2070","59","8357","540","31","138","3027","86","2","121","129.97976600908893","1261.4647088486545"
"21","FAST BOY","Germany","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","8245","2430","267","63992","2708298","1386097022","79762","4662468","88190915","18040","200","33000","374433","163635968","1573","1041849","72761","-49","255409","83","0","72","31824","1361","17","821","21","3687","N/A","N/A","N/A","4","876","4617","60","710","1435","55","17","814","126.13966570265956","6080.0157307297395"
"22","Deborah De Luca","Italy","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","8301","13093","585","583051","618577","298053529","-8888","821199","11766958","18710","1000","522000","93898","113548267","742","1472253","3829","311","1649663","11008","0","-747","2866996","4304","-959","2672266","84","101951","174","328252","26572","43","30824","107","19","51","716","340","88","3930","381.97044578604215","26065.986004609967"
"23","itsAirLow","Germany","Electronic","N/A","8328","60192","14","1485","68958","13086869","-3023","115781","4386567","2181","0","1560000","1108969","1043573507","4515","5227451","601664","0","1117","0","0","3","496","0","N/A","N/A","1","134","-1","54","1","1","239687","4","2","2","30113","42","0","0","28.7638252938756","49.79326140820496"
"24","Luca-Dante Spadafora","Germany","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment","8333","6393","465","180058","2211114","628244055","-43874","2518997","14317290","6510","2000","275000","2153112","256117050","22328","5921400","25022","3","1264","13","0","325","169059","5776","N/A","N/A","53","12907","23","7202","15840","145","9061","547","16","101","4254","51","4","106","98.5122845384403","708.1727754164718"
"25","cassö","United Kingdom","Electronic","Sony Music Entertainment, Warner Music Group","8417","1708","494","102964","3869054","1273326069","-124155","7551366","110382671","30866","0","27400","99282","37186368","361","225896","99445","-27","44628","191","0","14","17739","537","N/A","N/A","22","6656","20","33510","73920","4548","17969","277","37","109","678","18","9","967","55.090332436452584","8718.148883612364"
