"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"21","Chicane","United Kingdom","Electronic","Big Indie Labels, Universal Music Group","11778","8156","2684","211821","7857469","519458289","56517","2092242","17552818","22918","400","75500","743561","139597464","5741","852854","50009","N/A","N/A","N/A","N/A","3357","49234","2037","2186","228359","212","39928","229","29503","74377","12003","2567","10594","88","1484","1918","780","56","1968","544.0820430930146","7108.975547109864"
"22","Sharon Den Adel","Netherlands","Metal","Big Indie Labels","11849","7530","527","33854","10106375","309488276","78199","2739546","9024630","11989","N/A","N/A","N/A","N/A","N/A","N/A","72165","N/A","N/A","N/A","N/A","613","11420","251","-231","195554","25","17194","N/A","N/A","N/A","34361","53519","265","19","27","1119","53","7","433","31.478512993613744","5124.198801965575"
"23","Mandragora","Mexico","Electronic","Big Indie Labels","11909","13411","1694","419960","3373942","440688634","8629","930904","4590380","12713","1000","798000","1948983","375982516","18171","6263129","28245","6","7170","0","0","-1576","209941","10226","-562","447718","397","89343","453","353747","165553","6235","50865","159","17","34","1244","363","41","1469","261.52386257742364","4447.211984505107"
"24","Victor Marin","Romania","Electronic","N/A","12135","28659","65306","127276","44","384853","-303","208","29757","88244","0","1520","1994","1995","45","42","13699","-24","21899","82","617","87800","266713","2148","-792","146763","0","6920","31","2652","47643","0","N/A","N/A","N/A","N/A","426","2694","0","0","9647.996200126065","9820.508912162322"
"25","Paul Oakenfold","United Kingdom","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","13296","12419","2430","247407","3823261","368535391","111600","1257174","17737627","29126","600","81700","383347","76051884","3988","615994","14373","0","5090","0","0","43887","766974","2508","-1683","1469155","188","105286","322","221907","92103","17217","9111","2277","69","454","2881","1035","98","2453","257.46979593408713","4645.632131644936"
"26","Markus Schulz","United States","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","13777","24037","1231","330740","1231536","239618813","6981","481717","7047593","19658","1000","386000","441027","158251485","3369","1511641","15024","2","7672","0","0","603","292587","51902","-1578","1105820","259","143498","334","182478","92128","2348","7991","2688","59","316","3298","1451","176","3904","372.2905691989174","8664.141912108562"
"27","Giuseppe Ottaviani","Italy","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","13859","19274","1573","152283","2923901","214985427","222152","985026","13947034","25393","2000","246000","367473","67244189","7607","1242787","10162","1457","175903","24760","167078","2241","272447","26111","4047","583902","182","30195","350","70155","113838","4114","8713","2586","50","243","769","733","214","8507","510.9341680070345","24115.95869674167"
"28","Ben Nicky","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14311","16623","855","140193","2440302","222671059","-73721","853065","13070357","29252","1000","142000","526665","42916170","4669","542761","6551","-3155","1179064","35780","552246","3656","687335","14331","-1040","699349","60","11056","415","167570","281910","3976","11511","1643","37","146","1220","253","112","7946","193.06242223938338","8358.313376337077"
"29","Audien","United States","Electronic","Big Indie Labels","14700","8267","1288","208586","4847303","886033301","-83389","1421535","27912934","31452","100","78100","122518","65262787","791","717396","34907","78","4549","972","20441","2138","107674","10858","-396","250003","50","291109","120","188044","115610","4043","6283","5900","62","327","7057","283","44","1814","71.10712450195906","4945.752040690513"
"30","Chapeleiro","Brazil","Electronic","Universal Music Group, Big Indie Labels","15113","33244","465","481486","561127","86027865","-6519","166733","1105010","17434","0","749000","449350","112822655","4242","2018339","13995","669","94765","11497","45932","-2051","440867","7963","-2658","1273396","147","153435","53","248624","35509","1048","138012","4","3","5","30661","68","6","35","27.861044280797493","136.17793612808123"
"31","Mauro Picotto","Italy","Electronic","Big Indie Labels, Universal Music Group","15324","11461","1583","110691","3899984","241486607","32276","1419271","13205648","40263","500","41800","187051","31802013","1667","245822","38709","0","751","0","0","7326","72802","2712","616","421497","93","40332","232","81714","65752","8939","3793","6217","64","854","2655","960","63","1536","367.2196693507312","4217.931121183493"
"32","Andrew Rayel","Moldova","Electronic","Big Indie Labels, Sony Music Entertainment","15915","17448","1039","180600","2713092","413619703","61475","978875","8627306","25375","1000","182000","552345","92698848","6184","1251840","17411","1055","45586","20100","446460","6385","243596","9849","-432","881794","152","70778","164","179963","53820","1256","7016","3011","46","207","2802","525","150","5426","238.46937061326523","9700.52882399261"
"33","Nadia Ali","United States","Electronic","Big Indie Labels, Warner Music Group","16093","11403","1202","110677","4663986","410330682","93912","1218784","18427949","31063","0","156000","195292","102481150","1912","584340","23497","N/A","N/A","N/A","N/A","4966","128708","1881","-1667","1044520","55","94827","45","44639","13785","28076","15793","1292","54","221","2118","481","26","853","73.79106485637428","3061.459676670049"
"34","Alex M.O.R.P.H.","Germany","Electronic","Big Indie Labels, Sony Music Entertainment","16116","14981","1621","113752","4871144","182510645","91367","1464044","3497332","42468","700","37600","123579","19881933","921","207599","28734","-194","41839","259","6287","7628","94842","1537","0","208766","94","24689","129","38571","61541","2345","12349","1373","35","148","2196","784","151","4923","365.3663450391256","11155.53606194346"
"35","Blastoyz","Israel","Electronic","Big Indie Labels","16457","23168","974","134909","1296150","145488942","-25547","502356","5463916","15202","2000","519000","882386","145038415","8685","2224271","23584","56","19056","1885","20504","902","183644","1899","-908","998104","77","35555","140","152861","45657","1653","56440","152","13","27","14382","97","59","4963","57.79648364945709","784.1851551414031"
"36","Pegassi","Belgium","Electronic","Sony Music Entertainment, Universal Music Group","16595","21589","2479","53600","4600907","62525619","53391","807976","4859687","52388","3640","8440","74333","1496235","931","28580","11209","705","44571","15499","115691","22577","123309","15226","0","3111","155","2528","1360","66628","325825","8576","63739","403","9","20","2216","31","8","696","89.0241439628048","1891.0764695650332"
"37","DJ HEARTSTRING","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","16952","15115","1705","104115","5964086","158377395","125743","1205402","10053801","64441","300","16200","130944","2738024","1972","40607","33700","N/A","N/A","N/A","N/A","8066","142463","16597","N/A","N/A","110","5006","1080","84400","437610","4074","25087","547","31","110","1152","57","24","2522","288.50177278631423","5101.8542544058"
"38","Billy Gillies","United Kingdom","Electronic","Big Indie Labels, Warner Music Group","17120","16694","1276","84483","2338759","175705842","-5982","739741","8554690","21741","400","69200","1404441","75821656","3843","337315","38218","N/A","N/A","N/A","N/A","5327","120585","4355","2099","291989","34","2108","524","95394","341179","6695","8006","2808","61","323","1317","96","27","1577","92.00360355340143","7377.8136072514935"
"39","Macon","Germany","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group, BMG","17437","9568","573","52820","5389565","238994710","-26123","1724980","8285122","23176","100","44700","1062388","77249653","6569","601485","80070","0","91200","0","469","-363","27867","228","0","522","30","1035","378","65070","304479","1462","68573","168","4","14","9315","29","6","193","46.2085541377139","300.9167666001171"
"40","Da Hool","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group","17494","9247","975","50825","3547346","233521642","26767","1733151","25291213","29985","3","928","637880","79821225","5497","707649","60590","75","5076","875","1957","36","74292","611","57","28465","145","11540","13","837","1264","19619","7427","2582","54","362","717","244","14","1507","213.2485377006197","17578.949400634236"
"41","Vermont","Brazil","Electronic","Big Indie Labels","17991","46589","929","67943","892722","47239664","-17038","219912","1983235","12860","10000","166000","778817","26562250","24131","609430","23982","486","36039","19258","85877","11954","176496","49318","0","224318","109","8171","298","88199","84600","780","82469","85","5","11","33651","67","21","335","21.14482827192472","73.87873269141252"
