"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"171","Ely Oaks","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","3479","1505","228205","913466244","9410558","120046947","22994","100000","40008368","743155","3347","925575","315964","48649","7960","83972","2901","3273","69","8","212","880.862911662101"
"172","Sub Focus","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment","3489","3261","607945","1430774735","4499813","38085409","7310","278000","329797399","2518790","7781","158435","339377","567684","146407","895188","2118","38","278","105","13806","97145.82951927258"
"173","Focalistic","South Africa","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment","3491","5907","1504323","357294861","2736318","11750298","8153","494000","246348043","2003585","2749","1482697","2676473","3669025","73856","8608","13661","12391","154","4","30","220.72105480764827"
"174","Dr. Alban","Sweden","Electronic","BMG, Big Indie Labels","3493","3306","371572","898929053","5278049","17972893","3526","633000","541023585","3034303","28851","128730","298062","151717","83476","3548","449","127117","21","1","6","7.3945257727240925"
"175","Oliver Heldens","Netherlands","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group, Universal Music Group, BMG","3494","1985","1074085","3211241891","5983928","91668786","6581","966000","865774776","8997599","7369","183458","1457925","2995655","383741","743725","1275","172","230","141","22144","86885.1929536212"
"176","KREZUS","Costa Rica","Electronic","Big Indie Labels, Sony Music Entertainment","3545","4618","101888","305689562","5335379","19127386","5616","193000","48734932","690057","5347","279840","21808","75","2164","8385","279451","16715","46","0","0","87.92949169991194"
"177","Notion","United Kingdom","Electronic","Universal Music Group, Warner Music Group, Sony Music Entertainment","3564","1208","194757","1001611917","11981746","127590688","13587","83000","75686387","757939","14395","88712","125841","24375","3981","84963","14030","920","224","39","4301","6788.370652557643"
"178","Ummet Ozcan","Netherlands","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment","3576","5544","621871","983575436","2775625","18497113","4023","1220000","903464441","12945662","597","1720837","N/A","2616437","469643","220598","5414","3997","224","81","9225","10790.53737075621"
"179","ARTBAT","Ukraine","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3581","3690","598160","719268867","4440819","59267138","7845","404000","278905367","2936049","2594","310153","933139","382943","51337","206421","6847","31","128","79","14675","197987.07231036702"
"180","Erasure","United Kingdom","Electronic","Big Indie Labels, BMG","3582","3197","1234470","1182288076","4178993","23408865","7291","371000","522861586","2979499","14951","27948","80921","604110","370076","4788","266","32158","362","0","0","231.6741022742423"
"181","Смешарики","United Arab Emirates","Electronic","Warner Music Group, Big Indie Labels","3588","80594","49281","29603269","112328","9013","955","4420000","6240954902","21169216","3876","4771839","92014","3963","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"182","Regard","Kosovo","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","3605","1323","308951","3217204307","5897482","107938481","3107","1430000","1416633166","8254774","29160","112746","362347","67982","90007","109222","1150","3657","69","19","1565","7345.0541741788475"
"183","Sigala","United Kingdom","Electronic","Sony Music Entertainment, Warner Music Group, Big Indie Labels, Universal Music Group","3663","1455","1596520","4633974139","5704029","103371200","2199","1270000","1325954445","7729287","33825","103929","149131","182362","282599","64772","547","2248","181","36","1519","6377.129643958823"
