"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"347","Durante","United States","Electronic","Big Indie Labels, Warner Music Group","46104","31228","41608","125350621","458168","6242901","57742","22300","9363263","98554","63390","8950","28147","11757","1578","23441","24658","1821","248","38","1878","7227.924920392172"
"348","Murphy's Law (UK)","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group","46110","32482","21086","44798768","427864","4363746","609593","N/A","146","1","52417","10052","28914","1642","N/A","9866","131056","209","70","40","3469","24284.55856215897"
"349","Da Real Emkay","South Africa","Electronic","Big Indie Labels","46118","112443","11343","5406407","130622","46236","40557","13900","1668276","27974","23126","10160","751","15165","95","7","319976","26203","68","0","0","78.46069773545344"
"350","Kings Of Tomorrow","United States","Electronic","Big Indie Labels","46205","28170","64322","94728544","445969","4771689","N/A","N/A","N/A","N/A","538788","N/A","N/A","N/A","6247","5072","11028","1217","313","20","1017","14063.617114054707"
"351","Bobina","Russian Federation","Electronic","Big Indie Labels","46276","71255","33225","45586930","122515","1515145","48719","36400","34988164","254833","42730","811","94353","304643","17074","24362","13412","10341","621","40","793","1600.2817190660937"
"352","Volen Sentir","Russian Federation","Electronic","Big Indie Labels","46331","36877","27764","41956222","349484","6144371","104950","3910","3337128","42362","85700","N/A","25581","15543","1179","25275","26107","985","94","69","9823","28904.47095226167"
"353","Jethro Heston","United Kingdom","Electronic","Universal Music Group, Sony Music Entertainment, Big Indie Labels","46367","31079","22696","98404649","364073","2647942","57051","28400","24720181","166708","71691","69212","21803","59199","1119","27420","37008","11925","49","1","91","519.6449478794972"
"354","Tayllor","United Arab Emirates","Electronic","Big Indie Labels, BMG","46401","48721","10883","24915340","373093","2402435","47799","11300","662173","4320","103894","4542","47201","3892","219","8024","21194","397","119","46","2544","15324.630626236543"
"355","Tough Love","United Kingdom","Electronic","Big Indie Labels","46438","36787","41820","195299165","208943","4401995","39298","48000","58452690","235647","75648","1977","28102","44172","8210","74810","18066","5379","353","71","1733","16981.366232359658"
"356","Jonah","Germany","Pop","Big Indie Labels","46515","22230","11837","116392651","531964","9143951","108127","5880","5072333","43844","248157","N/A","4579","7587","5571","N/A","19861","6007","56","6","207","1293.2646668339348"
"357","INNERVERSE","Germany","Electronic","Big Indie Labels, Universal Music Group","46530","15096","10276","82716935","1008038","15225072","N/A","N/A","N/A","N/A","267387","16","1500","33","315","1","73606","N/A","N/A","N/A","N/A","N/A"
"358","Marcus Dielen","Russian Federation","Electronic","N/A","46536","73129","3660","12518012","176354","147990","35018","12300","10272020","78961","195032","24","14951","N/A","150","58","34926","16257","55","0","0","74.26452994616842"
"359","Klur","Sweden","Electronic","Big Indie Labels","46589","25254","34270","133487986","620652","6949879","251382","611","159941","2216","250622","N/A","5825","1066","808","2263","30855","11721","58","11","214","235.56958522121448"
"360","Millios","Greece","Electronic","Other Indie / Unsigned","46631","152639","3256","9114671","34881","386832","19076","5160","25406958","11173","N/A","N/A","N/A","N/A","265","N/A","26977","16041","50","0","0","94.1756580357698"
"361","Sara Phillips","United States","Pop","Big Indie Labels, Warner Music Group","46652","45589","7307","47169546","243562","3074574","71787","7670","8074561","166930","16769","79742","43095","1624","173","456","114207","14988","25","3","145","392.3198038373505"
"362","Alex Schulz","Germany","Electronic","Sony Music Entertainment","46712","26030","204657","201919231","339399","4676026","57077","1440","41610057","219758","176195","3115","3932","21080","3301","102456","24444","43233","104","3","143","508.06529872798694"
"363","Shkoon","Germany","Electronic","Big Indie Labels","46748","57045","80876","50203653","123284","1433111","41465","73800","19068694","132467","47233","N/A","108583","47151","4804","54540","88910","17803","105","16","954","341.1352284440431"
"364","BONDI","Germany","Electronic","Big Indie Labels","46801","28019","22832","104645669","486830","3800928","118171","3920","2340163","25879","103626","N/A","20594","37460","4544","24202","35228","7032","201","32","361","1244.1469368482096"
"365","Patrice Bäumel","Netherlands","Electronic","Big Indie Labels, BMG","46850","45377","71161","60522543","189758","3346727","78252","2500","2562377","38099","31933","N/A","102097","103803","4689","96188","65511","883","237","88","5542","65620.73910180244"
"366","Lexer","Germany","Electronic","Big Indie Labels","47015","38413","54039","116240628","310935","4406545","87617","7080","7288093","60151","79436","N/A","37553","89960","17280","146373","20322","2528","311","61","1041","8437.659659490024"
"367","Max Martis","N/A","Electronic","Big Indie Labels","47174","24054","10720","111422975","417841","7710513","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","486","N/A","33793","N/A","N/A","N/A","N/A","N/A"
"368","Osunlade","United States","Electronic","Big Indie Labels, Universal Music Group","47251","42480","81262","66899017","253319","4989050","89614","3990","8249721","71804","72113","N/A","26714","28385","6327","102078","21596","3538","709","48","1205","8112.97460776488"
"369","Paul Schulze","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group, BMG","47331","19875","7044","85731199","640061","11246409","457598","12","76468","39","323226","2859","3597","317","189","203","27064","24907","32","0","0","67.4857244251814"
"370","Solee","Germany","Electronic","Big Indie Labels","47345","37579","85497","93180985","315501","5314852","109710","N/A","N/A","N/A","46871","N/A","29802","79258","10082","75919","27074","1173","504","116","3214","15924.115732793725"
"371","Nicolas Haelg","Switzerland","Electronic","Big Indie Labels","47370","33356","32065","194691275","231618","4013670","29697","697","33482993","79187","127927","3420","10658","33494","3346","89811","32425","30265","81","3","50","210.3928259371229"
"372","Hilola Samirazar","Uzbekistan","European","Big Indie Labels, Warner Music Group","47407","72017","7805","15947430","149711","1304613","33214","69700","27081856","210418","87888","19531","66284","225","211","N/A","35691","14977","47","0","0","94.86999036287486"
"373","Möwe","Austria","Electronic","Big Indie Labels, Sony Music Entertainment","47430","18877","89381","429013048","436623","9898764","60573","10500","37666842","261302","86817","451","20195","88687","9489","132571","15631","29929","140","7","244","601.3107610076067"
"374","Albuquerque","Brazil","Electronic","Big Indie Labels","47481","154023","8768","3964495","28238","501706","29493","95400","3002020","113860","77840","54628","70415","N/A","350","24285","85431","3837","161","34","808","1238.565228813348"
"375","DJ Alex Man","Romania","Electronic","N/A","47602","28402","7864","68995880","525565","2809932","69603","3990","4295349","27385","559803","107","260","128","242","130","210475","39745","44","0","0","34.64529741047118"
"376","Umut Torun","Turkey","Electronic","Big Indie Labels","47655","212099","1573","2182698","25774","69548","21653","30600","52901846","153189","555883","N/A","1393","N/A","87","930","24822","7577","152","0","0","306.817467085043"
"377","KASIMOFF","Germany","Electronic","Warner Music Group, Big Indie Labels","47737","26440","11180","39808931","769905","164948","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","319","178","N/A","5267","213","0","0","419.44431012914754"
"378","Coach Harrison","United States","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment","47915","22506","3383","68919412","617034","7001567","N/A","N/A","N/A","N/A","489960","N/A","1964","N/A","180","N/A","69630","2828","19","5","178","1420.5600085035144"
"379","Darque","South Africa","Electronic","Universal Music Group, Big Indie Labels","47916","50743","62871","23890714","262330","1433658","61517","24200","6332279","78720","35018","23488","78957","244180","3252","6106","37347","4859","110","3","48","616.4848921310796"
"380","MVCA","United Kingdom","Electronic","Big Indie Labels, BMG","47931","13519","10413","219179941","1161917","13840587","217197","N/A","N/A","N/A","444666","N/A","2063","262","722","1745","52672","24227","44","1","183","66.0297467630602"
"381","Fatso 98","South Africa","Electronic","Big Indie Labels","48019","59855","54018","15797841","188540","206420","46965","15300","6104538","35528","44458","55716","29088","98056","330","536","103838","31237","39","0","0","47.434807898746506"
"382","Silicone Soul","United Kingdom","Electronic","Big Indie Labels","48040","56547","18822","21229190","284656","2088830","49380","9360","14842173","137481","78472","N/A","6782","46549","6120","48554","17841","17421","294","8","181","1688.3574753898843"
"383","Sahalé","France","Electronic","N/A","48097","46477","49959","47877542","251113","1880569","29231","20800","114566348","983774","200988","N/A","4878","15290","3824","43398","58245","26850","66","7","215","789.618243446758"
"384","Tim Engelhardt","Germany","Electronic","Big Indie Labels, Warner Music Group","48151","41014","29186","40674690","275584","6031508","260945","833","313187","5572","106582","1044","28319","27305","1208","28788","38748","191","470","159","3980","40381.11983983048"
"385","MARE","Serbia","Electronic","Big Indie Labels","48237","16115","5606","67819930","1472145","19212618","220038","496","19975","703","209033","133","910","N/A","79","193","32934","N/A","N/A","N/A","N/A","N/A"
"386","Gorge","Germany","Electronic","Big Indie Labels, Warner Music Group","48283","52702","19914","34462349","175862","5494187","228559","459","47845","1063","157616","N/A","10038","19561","2374","35565","20413","344","571","197","12794","88466.52662225143"
