"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"79","Milk Inc.","Belgium","Electronic","Sony Music Entertainment, Big Indie Labels","30701","22800","1868","106111","6570272","184800008","-23401","547402","5215816","61441","90","6690","200079","29759771","1099","110029","191516","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-95","23846","209","12656","N/A","N/A","N/A","2327","4849","17735","60","749","21054","215","0","0","52.508101048817835","106.69488671603612"
"80","Rocco","Germany","Electronic","Big Indie Labels, Universal Music Group","30839","15285","921","28341","20158039","285906668","369199","1544088","9246987","79120","N/A","N/A","N/A","N/A","N/A","N/A","440591","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-5","4198","0","3399","N/A","N/A","N/A","6672","12631","4580","29","237","2943","628","11","235","545.8011794936662","1768.0229938770126"
"81","Talla 2XLC","Germany","Electronic","Big Indie Labels, Universal Music Group","31156","42812","1816","41711","3265929","97740902","46083","320064","4601379","36568","900","14700","1467144","12645898","10453","157052","40997","184","17286","1539","32793","1321","115756","2392","2145","125520","173","6853","391","24141","72030","2052","6552","10544","46","306","1295","786","261","6470","689.9356399485914","15060.332170750846"
"82","Aura Vortex","Brazil","Electronic","Big Indie Labels","31170","28961","2798","85929","3958432","85060986","-23318","446565","1817401","39990","1000","95400","441585","34608759","3851","485887","43357","N/A","N/A","N/A","N/A","2527","155531","1978","302","166426","315","20280","718","93496","110631","5102","148056","76","6","6","38078","34","27","910","17.16449988451337","162.0620819290436"
"83","4 Strings","Netherlands","Electronic","Big Indie Labels","31182","19624","1772","58549","6142946","135874557","115530","866910","9534618","47455","0","93","800542","34767751","5136","239327","114135","N/A","N/A","N/A","N/A","689","6404","156","-43","28962","163","6435","27","5554","476","9626","6894","10537","63","657","2649","396","62","1580","109.9324764648833","4217.471864863319"
"84","Sylver","Belgium","Electronic","Big Indie Labels, Universal Music Group","31413","24108","2122","86410","4702084","110409715","-56955","570454","4279649","68073","0","83","148543","18128692","644","105230","64674","N/A","N/A","N/A","N/A","513","11510","304","2515","34770","245","11625","N/A","N/A","N/A","15715","3369","28123","74","1050","14199","119","5","109","40.91544371451265","411.3480255269306"
"85","Orjan Nilsen","Norway","Electronic","Big Indie Labels, Universal Music Group","31902","36684","1212","151034","2097063","184275539","4339","288275","5662019","47734","300","76800","179947","32567152","1920","359973","32994","N/A","N/A","N/A","N/A","2906","101816","2123","-401","284428","168","100527","299","62176","61566","1451","18654","2877","34","135","2559","532","124","3931","309.9485164228878","7401.465087543039"
"86","Gabriel & Dresden","United States","Electronic","Big Indie Labels, Universal Music Group","32103","22412","1368","90520","2065087","136736476","53722","612161","4753233","59002","400","28100","300171","15787304","3104","129567","41086","5","1540","1","57","1792","75531","1043","-2","143364","137","16778","309","50130","82347","3460","31224","1348","32","107","3564","316","70","2259","115.3780060390108","6087.59883890708"
"87","Richard Durand","Netherlands","Electronic","Big Indie Labels, Sony Music Entertainment","32108","31746","2333","63068","6649796","114980108","423815","777773","7208476","54457","1800","19700","208577","19881906","1522","166891","47909","N/A","N/A","N/A","N/A","5998","42720","16779","1852","300007","287","26431","331","32049","64582","1872","15937","3126","44","198","2742","556","108","3540","275.3758233727826","7972.455169274764"
"88","ANDR3X","United States","Electronic","N/A","32122","574827","2","324","145","234821","0","29","3305","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4012","N/A","N/A","N/A","N/A","-88745","10175160","0","-479","157146","0","873","-5","28647","N/A","0","384070","1","1","1","142352","13","0","0","0.17161330004358122","3.432266000871625"
