"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"270","Thatohatsi","South Africa","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group","14815","10057","295280","188250693","1949613","4985173","146005","3690","206904","3354","62562","521500","3693","8686","750","N/A","132621","10409","98","0","0","147.3361497776259"
"271","Kerri Chandler","United States","Electronic","Big Indie Labels, Warner Music Group","14822","12925","127719","156269002","1735524","8622806","46907","24700","27743094","350243","17084","N/A","209638","268229","14165","105844","15052","1161","1290","107","2851","21553.066477774115"
"272","Ewan McVicar","United Kingdom","Electronic","Sony Music Entertainment, Big Indie Labels, BMG","14899","13190","69631","169329567","1581615","21176970","54588","16100","22950813","121783","17579","113495","203530","35608","1349","47737","11198","637","57","17","1625","19253.09314345375"
"273","nate band","United States","Electronic","N/A","14921","9465","27326","78941237","2209731","2942478","N/A","N/A","N/A","N/A","539901","N/A","9560","N/A","N/A","9390","31629","112794","2","0","0","0.7944703160387595"
"274","Bombs Away","Australia","Electronic","Big Indie Labels","15000","11420","59458","200168023","1442926","19747401","19090","210000","144229311","1001645","34554","N/A","40249","722006","44268","207213","28011","7141","606","47","1021","1309.5362223298216"
"275","C-bool","Poland","Electronic","Big Indie Labels","15003","25767","132692","156882814","621049","1128272","11224","499000","526010245","2661170","16271","451824","131315","346926","8855","3825","10020","72563","59","0","0","49.84650368046442"
"276","Demeter","Moldova","Electronic","N/A","15077","33111","35138","82909748","482902","1751071","5323","225000","260209815","1429389","780755","N/A","44","N/A","1378","12240","59386","20427","90","0","0","106.04653622800873"
"277","Knock2","United States","Electronic","Warner Music Group, Big Indie Labels, Universal Music Group","15121","10792","176977","363090911","1314087","10521562","31184","47600","16903636","306916","44987","52712","220396","N/A","3323","76612","28166","449","87","67","11104","14638.76565931886"
"278","CeCe Peniston","United States","Electronic","N/A","15184","10252","161176","251982367","1639045","14290923","28689","695","73393994","568224","29484","N/A","247550","334599","9263","5","1640","11653","186","7","249","600.3860154667866"
"279","Francis Lai","France","Classical","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment","15210","9288","100155","413593671","1760309","8672502","22216","150000","58494727","326249","N/A","N/A","6901","6605","10955","N/A","8135","101270","N/A","N/A","N/A","N/A"
