"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"15","Carl Cox","United Kingdom","Electronic","BMG, Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","5847","11232","8041","897072","3345699","290659734","128839","1178240","8874540","24532","3000","220000","510585","17439091","8751","213540","2409","4205","348296","18076","238458","16383","2523356","211862","17799","3038224","510","229546","1984","575339","66673","4601","13797","1441","37","178","540","350","90","5005","364.3627533454159","54642.44683327718"
"16","Cyran","United States","Electronic","Big Indie Labels","6873","289242","-8","8587","2353","1256627","35","1118","54929","6221","3000","764000","2563611","344299594","47583","8406250","1231","-5353","3024189","70802","1320722","34575","1269885","325008","4356","499850","3","407","1","4671","3594","2","365735","0","1","1","78386","50","2","9","3.4406505516498163","44.3485658724339"
"17","Lilly Palmer","Netherlands","Electronic","Big Indie Labels, Universal Music Group","6981","12591","4767","231422","5314662","165224391","-68731","1268938","13275483","14479","4000","278000","1659604","58129701","27243","1305692","2745","5979","660660","78955","507224","21523","1710549","126507","8746","926218","519","9467","1002","78834","153776","2072","11033","2799","27","112","404","71","38","2768","231.65574472461185","19914.830555083077"
"18","Novah","Belgium","Electronic","Universal Music Group, BMG, Big Indie Labels","7042","12942","15951","224814","5491502","34442471","166116","1444257","5530963","N/A","N/A","N/A","N/A","N/A","N/A","N/A","384","9248","847866","360475","2309298","791764","1843833","475189","357","7955","N/A","N/A","3220","59143","136261","3851","425188","1","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Nicolas Julian","Germany","Electronic","Sony Music Entertainment","7236","6875","2428","167336","11125773","405783986","14782","2440777","11778844","15175","1000","192000","1512892","83632853","14884","1485992","7210","-945","2427721","130169","460748","15891","263259","69253","5308","28266","205","5181","525","63251","211554","8696","38380","375","15","52","2393","37","18","2346","95.40924181582346","1540.817801684715"
"20","Tribbs","Poland","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","8091","3465","797","174496","9632471","793796862","-243268","3764095","65159702","14551","2000","311000","1859068","281418619","5087","1462890","15557","3790","712119","58302","615402","3945","180060","21378","1043","154085","35","3383","9","1494","9807","8815","8357","2401","41","245","3027","86","2","121","129.97976600908893","1261.4647088486545"
"21","FAST BOY","Germany","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","8245","2430","1130","63992","12325493","1386097022","444104","4662468","88190915","18040","300","33000","1430123","163635968","5392","1041849","72761","-154","255409","202","2264","2425","31824","4697","33","821","80","3687","N/A","N/A","N/A","26860","876","20526","72","1042","1435","55","17","814","126.13966570265956","6080.0157307297395"
"22","Deborah De Luca","Italy","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","8301","13093","2611","583051","2776593","298053529","-27927","821199","11766958","18710","1000","522000","401816","113548267","3435","1472253","3829","462","1649663","36150","264113","-934","2866996","47809","-1582","2672266","420","101951","721","328252","116285","8376","30824","473","24","93","716","340","88","3930","381.97044578604215","26065.986004609967"
"23","itsAirLow","Germany","Electronic","N/A","8328","60192","44","1485","316736","13086869","-1883","115781","4386567","2181","10000","1560000","34010884","1043573507","151217","5227451","601664","2","1117","0","4","3","496","4","N/A","N/A","11","134","0","54","31","45","239687","12","2","2","30113","42","0","0","28.7638252938756","49.79326140820496"
"24","Luca-Dante Spadafora","Germany","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment","8333","6393","2209","180058","10053499","628244055","-296641","2518997","14317290","6510","5000","275000","7700843","256117050","82655","5921400","25022","3","1264","35","6130","7816","169059","22606","N/A","N/A","246","12907","147","7202","71078","7268","9061","2360","23","167","4254","51","4","106","98.52300907400488","708.1727754164718"
