rank,subgenre,parent_genre,points_million
1,Nova MPB,Latin,3.2
2,Latin Pop,Pop,2.5
3,Samba,Latin,2.5
4,Trap,Hip Hop,1.8
5,Alternative Rock,Rock,1.7
6,Mainstream Pop,Pop,1.6
7,Contemporary Hip Hop,Hip Hop,1.2
8,Sertanejo,Latin,1.1
9,Pop Rock,Rock,1.1
10,Other Latin Music,Latin,0.9563
