platform,genre,share_percent
Overall,Latin,50
Overall,Pop,14
Overall,Religious,13
Overall,Other,23
YouTube,Latin,50
YouTube,Pop,14
YouTube,Religious,14
YouTube,Other,22
Deezer,Latin,38
Deezer,Rock,38
Deezer,Religious,13
Deezer,Other,11
