Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_M,Spotify_Listeners_Monthly_M
Tomorrowland,July,7,1,USA,425.0,91.3
Tomorrowland,July,7,2,MEX,241.9,62.5
Tomorrowland,July,7,3,BRA,168.8,46.6
Tomorrowland,July,7,4,IND,127.0,11.1
Tomorrowland,July,7,5,FRA,118.3,23.7
Tomorrowland,July,7,6,GBR,116.3,64.9
Tomorrowland,July,7,7,ARG,104.8,12.2
Tomorrowland,July,7,8,ITA,98.8,35.6
Tomorrowland,July,7,9,DEU,95.0,142.9
Tomorrowland,July,7,10,POL,88.8,22.4
