Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Rolling Loud California,March,3,Gender,Male,1.4,59.4
Rolling Loud California,March,3,Gender,Female,0.9282,40.6
