rank,city,venues,festivals,events
1,New York,1923,9,20485
2,Las Vegas,552,20,8521
3,Los Angeles,826,29,12629
4,Chicago,501,24,12217
5,Nashville,518,9,12674
6,Denver,477,10,8174
7,Atlanta,328,17,6162
8,Philadelphia,494,5,6714
9,Houston,671,5,5016
10,Seattle,510,13,8699
