rank,subgenre,parent_genre,points_million
1,Contemporary Country,Country,114.3
2,Mainstream Pop,Pop,104.3
3,Alternative Rock,Rock,67.5
4,Pop Rock,Rock,60.6
5,Indie Pop,Pop,60.3
6,Americana/Alt Country,Country,59.3
7,Contemporary Hip Hop,Hip Hop,45.0
8,Indie Rock,Rock,41.8
9,Regional Mexican Music,Latin,37.8
10,Contemporary R&B,R&B,37.4
