"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","68427","34013070","62707932","20883888562","90535","32181087","130521992","344","0","12300000","12409744","9225197612","68644","66917678","229","4048","4731876","45835","0","4100","13765841","27401","-9423","36094602","5219","8040364","870","433371","120580","12436","97","31586","87","3005","5428","192","1","338","10.78834510830577","742.2284455583695"
"2","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","29203","12444970","27055754","7538455076","33828","11614776","40784044","929","10000","6930000","5835265","3535442098","26923","24205479","964","18720","797404","205493","0","10699","3453496","93034","-2551","15090490","1616","1898931","250","2986475","110469","494","1763","3939","55","510","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","25171","8246913","16811040","4823138310","-53364","14676984","93453431","1152","10000","3560000","3856750","1492664752","26627","16067541","243","N/A","N/A","N/A","N/A","105","8482782","324868","-573","13435730","2025","2561824","224","69800","42876","1949","239","16407","80","2048","50396","N/A","N/A","N/A","N/A","N/A"
"4","Disturbed","United States","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","609","491","10966","7921496","17131964","7168973633","-147308","17512143","67989295","1079","0","5070000","5061365","3676519528","29579","27052590","2473","1126","2113211","16773","0","1828","2635484","20334","2577","12112573","1155","1482856","219","122196","145373","1143","429","9883","82","1616","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Black Sabbath","United Kingdom","Metal","BMG, Universal Music Group, Sony Music Entertainment","619","462","23505","10380296","18786347","5616383897","11125","17870796","45706210","2474","0","2610000","1986399","1056037609","14047","8746889","N/A","N/A","N/A","N/A","N/A","3536","5382799","83003","49","11881397","2157","2984084","222","83152","57342","1647","312","14739","79","1969","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Iron Maiden","United Kingdom","Metal","Warner Music Group, Universal Music Group","722","817","14143","10730709","15215592","6195610164","-12646","8969515","34162338","2059","0","3250000","2294039","1281152729","14105","10299130","1176","2459","912825","55009","0","4666","4588232","54198","-3618","13159174","2648","3725692","N/A","N/A","N/A","0","503","10164","65","1270","130070","26","0","0","0.34322660008716255","6.864532001743251"
"7","Five Finger Death Punch","United States","Metal","Big Indie Labels","989","1087","7429","7094103","10366609","7098392168","-56676","6313351","33981841","666","0","4350000","3267449","3616143974","14284","22694197","5788","222","541552","826","0","-140","1215013","1160","-744","5378378","881","1105243","140","146025","95762","998","902","5617","50","536","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Ghost","Sweden","Rock","Big Indie Labels, Universal Music Group, Warner Music Group","1189","1262","6047","3921673","12381313","4489728710","-49635","8171305","34751085","1482","10000","3310000","3108404","1310412389","20791","17749078","3145","1598","1758554","89353","0","-512","2024341","713","-613","1836760","667","596922","166","49989","31005","394","2813","1970","51","429","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Megadeth","United States","Metal","Big Indie Labels","1396","1583","9810","6437171","8805867","3043015394","-25313","5095617","31311718","7281","1540000","1770000","808078","680368649","7228","8112378","1517","725","497850","10805","0","-1178","3400538","25181","-2384","7843327","1360","1769270","106","37251","16507","64","1081","5820","58","616","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Black Label Society","United States","Metal","Universal Music Group","1444","4672","5180","1928489","5099762","801106649","100504","3168742","7762379","1716","3000","756000","2002263","359830741","21609","3362293","23150","1662","336107","26481","0","N/A","N/A","N/A","-43","1977027","295","277058","49","12180","46015","626","4433","2259","47","333","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Rob Zombie","United States","Metal","Big Indie Labels, BMG, Universal Music Group","1528","1610","9182","3896932","6955486","2037812625","-91088","7250371","30192831","2970","0","1270000","1115330","750023580","7202","5539494","1328","1163","286446","5783","0","-380","2643023","14298","424","5903010","511","586930","118","49506","20253","11","2283","3508","43","449","157583","3","0","0","0.058693655782466575","1.1738731156493314"
"12","Judas Priest","United Kingdom","Metal","Sony Music Entertainment","1739","1958","5610","4664489","4968983","2096603532","-19525","4197465","58027968","2297","0","1290000","1698695","934189832","12269","8034299","2862","1641","88394","15445","0","2865","1416689","31583","907","4672104","862","1230261","N/A","N/A","N/A","507","550","9643","69","1292","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Sabaton","Sweden","Metal","Big Indie Labels","1746","2890","3088","2530350","9322975","4363862138","2009","3323169","16934841","1607","0","2220000","4700641","2501104401","28885","24924307","2583","1180","703864","26719","0","-348","903799","17512","470","1207241","486","400378","117","66180","55733","676","2835","2064","36","230","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Motörhead","United Kingdom","Metal","Universal Music Group, BMG, Big Indie Labels","2445","2157","5294","4607105","4062883","1917766375","-21778","4315013","36576227","5722","2000","934000","2002009","427303113","15199","3956517","N/A","230","323908","2413","0","2025","1458758","13708","-819","2940763","890","1100408","53","22422","5878","10","1198","5251","56","811","N/A","N/A","N/A","N/A","N/A","N/A"
