"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"371","Mortal Decay","United States","Metal","Big Indie Labels","132835","186283","18731","1459201","8333","147958","310072","449","83253","1178","64080","N/A","7566","274147","3825","12","378151","N/A","N/A","N/A","N/A","N/A"
"372","Venom Prison","United Kingdom","Metal","Sony Music Entertainment","132847","158096","43196","6981814","6817","213765","149780","4490","1067175","26607","81497","N/A","29756","71508","2702","177","125530","N/A","N/A","N/A","N/A","N/A"
"373","Lik","Sweden","Metal","Big Indie Labels","133401","149937","29051","9014606","14318","248708","208796","936","55964","1684","144075","N/A","11123","22652","1100","N/A","59855","N/A","N/A","N/A","N/A","N/A"
"374","The Agony Scene","United States","Metal","Warner Music Group","133555","119858","43989","12603924","31998","287777","199174","N/A","N/A","N/A","191806","N/A","3419","21324","2582","N/A","82009","N/A","N/A","N/A","N/A","N/A"
"375","Diablo","Finland","Metal","Big Indie Labels, Sony Music Entertainment","133708","115496","22974","28508573","32017","330452","186016","191","764089","6710","195898","N/A","6528","11368","789","N/A","61588","N/A","N/A","N/A","N/A","N/A"
"376","Last Days of Humanity","Netherlands","Metal","Other Indie / Unsigned","133733","138723","40734","7493982","20078","60316","257687","851","132996","1256","207731","N/A","N/A","25686","2129","N/A","181821","N/A","N/A","N/A","N/A","N/A"
"377","Neaera","Germany","Metal","Big Indie Labels","133795","128242","34971","9425884","11068","1255949","172610","1070","1412394","20592","149052","N/A","6233","32253","4062","933","28907","N/A","N/A","N/A","N/A","N/A"
"378","Asilian","France","Metal","N/A","134192","754891","N/A","N/A","N/A","N/A","64564","5620","151153","7165","362257","N/A","N/A","3287","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"379","Go Ahead And Die","United States","Metal","Big Indie Labels","135161","161233","22279","2477020","8102","606458","126388","5930","142408","5602","97046","N/A","31216","38448","1398","N/A","95878","N/A","N/A","N/A","N/A","N/A"
"380","Black Breath","United States","Metal","Other Indie / Unsigned","135309","118409","43223","12242738","17622","805653","N/A","N/A","N/A","N/A","181095","N/A","N/A","33433","3453","N/A","67473","N/A","N/A","N/A","N/A","N/A"
