"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Wake Up Dead (feat. Dave Mustaine)","2022-04-01","N/A","Metal","N/A","N/A","Lamb of God, Megadeth","N/A","N/A","N/A","N/A","366904","N/A","N/A","N/A","N/A","1212552.045","N/A","N/A","N/A","628440","6813686","N/A","N/A","N/A","684837","5024591","N/A","N/A","N/A","384","N/A","N/A","N/A","N/A","7160","60195","N/A","N/A","N/A","N/A","N/A"
"Itsari","1996-02-20","N/A","Metal","N/A","N/A","Sepultura","N/A","N/A","N/A","N/A","367037","N/A","N/A","N/A","N/A","1212036.3950000003","N/A","N/A","N/A","1489686","5609234","N/A","N/A","N/A","28674","409059","N/A","N/A","N/A","204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Piranha","1985-11-26","N/A","Metal","N/A","N/A","Exodus","N/A","N/A","N/A","N/A","367599","N/A","N/A","N/A","N/A","1209707.8","N/A","N/A","N/A","409203","3007921","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2956","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","8011"
"Enemy Of God - Remastered 2024","2024-05-24","N/A","Metal","N/A","N/A","Kreator","N/A","N/A","N/A","N/A","370091","N/A","N/A","N/A","N/A","1199420.3649999998","N/A","N/A","N/A","1390495","12501351","N/A","N/A","N/A","177762","479451","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spit","1996-02-20","N/A","Metal","N/A","N/A","Sepultura","N/A","N/A","N/A","N/A","370156","N/A","N/A","N/A","N/A","1199188.9","N/A","N/A","N/A","1456522","6488967","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","262","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jihad","2006-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","371930","N/A","N/A","N/A","N/A","1191929.88","N/A","N/A","N/A","907159","10417343","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1672","N/A","N/A","N/A","N/A","1244","10178","N/A","N/A","N/A","N/A","N/A"
"Jesus Saves","1986-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","372201","N/A","N/A","N/A","N/A","1190888.9000000004","N/A","N/A","N/A","1218867","11743282","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","886","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","10728"
"Amen","1993-09-02","N/A","Metal","N/A","N/A","Sepultura","N/A","N/A","N/A","N/A","372928","N/A","N/A","N/A","N/A","1187897.44","N/A","N/A","N/A","1366890","6531365","N/A","N/A","N/A","3155","543776","N/A","N/A","N/A","450","N/A","N/A","N/A","N/A","2431","6164","N/A","N/A","N/A","N/A","N/A"
"Bring Tha Noize","1991-10-01","N/A","Metal","N/A","N/A","Anthrax, Public Enemy","N/A","N/A","N/A","N/A","376153","N/A","N/A","N/A","N/A","1174774.275","N/A","N/A","N/A","1474418","14124071","N/A","N/A","N/A","3880","31215","N/A","N/A","N/A","178","N/A","N/A","N/A","N/A","1597","9817","N/A","N/A","N/A","N/A","N/A"
"The Conjuring - Remastered","1986-11-26","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","377115","N/A","N/A","N/A","N/A","1171007.36","N/A","N/A","N/A","1534932","11371865","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17","N/A","N/A","N/A","N/A","2994","11445","N/A","N/A","N/A","N/A","N/A"
"Obey The Call","2026-01-23","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","380757","N/A","N/A","N/A","N/A","1156739.8","N/A","N/A","N/A","1191551","1653610","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","161","N/A","N/A","N/A","N/A","2861","2868","N/A","N/A","N/A","N/A","N/A"
"Expendable Youth","1990-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","382556","N/A","N/A","N/A","N/A","1149653.36","N/A","N/A","N/A","1191528","8502045","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","780","N/A","N/A","N/A","N/A","1853","16430","N/A","N/A","N/A","0","15890"
"Extreme Aggression","1989-06-19","N/A","Metal","N/A","N/A","Kreator","N/A","N/A","N/A","N/A","386791","N/A","N/A","N/A","N/A","1133928.1400000001","N/A","N/A","N/A","649283","4596850","N/A","N/A","N/A","90530","852010","N/A","N/A","N/A","1883","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","7028"
"Devils Island - Remastered","1986-11-26","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","386872","N/A","N/A","N/A","N/A","1133638.46","N/A","N/A","N/A","1483518","11122878","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2123","9531","N/A","N/A","N/A","N/A","N/A"
"Strike of the Beast","1985-01-01","N/A","Metal","N/A","N/A","Exodus","N/A","N/A","N/A","N/A","387485","N/A","N/A","N/A","N/A","1131179.3900000001","N/A","N/A","N/A","713936","5040893","N/A","N/A","N/A","42077","753859","N/A","N/A","N/A","1836","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"M-16","2001-10-22","N/A","Metal","N/A","N/A","Sodom","N/A","N/A","N/A","N/A","387514","N/A","N/A","N/A","N/A","1131047.6999999997","N/A","N/A","N/A","1105981","7948523","N/A","N/A","N/A","757","208057","N/A","N/A","N/A","971","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","6965"
"High Speed Dirt","1992-07-14","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","387643","N/A","N/A","N/A","N/A","1130631.3199999998","N/A","N/A","N/A","936339","7770940","N/A","N/A","N/A","88879","1595688","N/A","N/A","N/A","1142","N/A","N/A","N/A","N/A","1714","8347","N/A","N/A","N/A","0","3399"
