"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Zombified","2022-01-05","N/A","Metal","N/A","N/A","Falling In Reverse","N/A","N/A","N/A","N/A","14151","N/A","N/A","N/A","N/A","36667180.605000004","N/A","N/A","N/A","34777239","180542745","N/A","N/A","N/A","9348156","61933357","N/A","N/A","N/A","8374","N/A","N/A","N/A","N/A","295183","1860775","N/A","N/A","N/A","N/A","N/A"
"Dying To Love","2025-10-22","N/A","Metal","N/A","N/A","Bad Omens","N/A","N/A","N/A","N/A","14175","N/A","N/A","N/A","N/A","36611783.5","N/A","N/A","N/A","32049749","34384228","N/A","N/A","N/A","10086648","11283013","N/A","N/A","N/A","32467","N/A","N/A","N/A","N/A","157531","168022","N/A","N/A","N/A","N/A","N/A"
"Through The Fire And Flames","2006-01-09","N/A","Metal","N/A","N/A","DragonForce","N/A","N/A","N/A","N/A","14258","N/A","N/A","N/A","N/A","36479040.69500001","N/A","N/A","N/A","35678903","321260877","N/A","N/A","N/A","7761452","244743484","N/A","N/A","N/A","9626","N/A","N/A","N/A","N/A","5275","274534","N/A","N/A","N/A","N/A","N/A"
"Violent Pornography","2005-05-17","N/A","Metal","N/A","N/A","System of a Down","N/A","N/A","N/A","N/A","14323","N/A","N/A","N/A","N/A","36338025.69499999","N/A","N/A","N/A","43287145","278592920","N/A","N/A","N/A","3659779","15082927","N/A","N/A","N/A","2978","N/A","N/A","N/A","N/A","70562","361702","N/A","N/A","N/A","0","250332"
"Nemo - Radio Edit","2004-01-01","N/A","Metal","N/A","N/A","Nightwish","N/A","N/A","N/A","N/A","14333","N/A","N/A","N/A","N/A","36305934.835","N/A","N/A","N/A","19269810","129883489","N/A","N/A","N/A","7907806","92421936","N/A","N/A","N/A","137","N/A","N/A","N/A","N/A","497","13340","N/A","N/A","N/A","N/A","N/A"
"Welcome Home (Sanitarium) (Remastered)","1986-03-03","N/A","Metal","N/A","N/A","Metallica","N/A","N/A","N/A","N/A","14388","N/A","N/A","N/A","N/A","36188362.11","N/A","N/A","N/A","20881059","163071507","N/A","N/A","N/A","196988","35744502","N/A","N/A","N/A","13498","N/A","N/A","N/A","N/A","114682","509652","N/A","N/A","N/A","N/A","N/A"
"You've Got Another Thing Coming","1982-01-01","N/A","Metal","N/A","N/A","Judas Priest","N/A","N/A","N/A","N/A","14718","N/A","N/A","N/A","N/A","35493702.595","N/A","N/A","N/A","21842183","175340915","N/A","N/A","N/A","4557797","36111241","N/A","N/A","N/A","50442","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3130","1056210"
"Painkiller","1990-09-26","N/A","Metal","N/A","N/A","Judas Priest","N/A","N/A","N/A","N/A","14781","N/A","N/A","N/A","N/A","35344273.28","N/A","N/A","N/A","23877088","186419654","N/A","N/A","N/A","10845151","126133291","N/A","N/A","N/A","26973","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1387","432867"
"Follow You","2015-09-11","N/A","Metal","N/A","N/A","Bring Me the Horizon","N/A","N/A","N/A","N/A","14991","N/A","N/A","N/A","N/A","34916764.56","N/A","N/A","N/A","42009603","304511406","N/A","N/A","N/A","1504343","68001493","N/A","N/A","N/A","3515","N/A","N/A","N/A","N/A","47198","420016","N/A","N/A","N/A","0","463484"
"Gunslinger","2007-10-26","N/A","Metal","N/A","N/A","Avenged Sevenfold","N/A","N/A","N/A","N/A","15090","N/A","N/A","N/A","N/A","34733164.885000005","N/A","N/A","N/A","43912396","183090803","N/A","N/A","N/A","650245","31246644","N/A","N/A","N/A","1740","N/A","N/A","N/A","N/A","98617","448407","N/A","N/A","N/A","0","179490"
