"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"171","Saltatio Mortis","Germany","Metal","Big Indie Labels, Sony Music Entertainment, Universal Music Group","15628","18464","296347","394639743","734459","2307292","16624","231000","159458526","1867872","21359","95316","150530","206781","69661","1974","4231","N/A","N/A","N/A","N/A","N/A"
"172","Saxon","United Kingdom","Metal","Big Indie Labels","15828","18386","674410","278519849","419038","2610781","24408","108000","93420508","1050096","35255","N/A","114888","530439","134826","N/A","2309","N/A","N/A","N/A","N/A","N/A"
"173","Attila","United States","Metal","Big Indie Labels, Sony Music Entertainment","15854","17642","519747","395821585","595300","2427404","20870","313000","125291962","1357504","23005","6477","278840","644245","52895","11182","26145","N/A","N/A","N/A","N/A","N/A"
"174","Dead by April","Sweden","Metal","Universal Music Group","15877","17001","426492","555803082","455464","4337737","17369","275000","160381226","1615934","40183","N/A","87734","436928","73851","2071","20435","N/A","N/A","N/A","N/A","N/A"
"175","RichaadEB","United States","Metal","Big Indie Labels","15929","18699","177283","438430080","792554","2341296","8794","752000","368210527","7661036","121806","12831","9229","5889","8380","3595","147011","N/A","N/A","N/A","N/A","N/A"
"176","Kabát","Czech Republic","Metal","Warner Music Group","16029","13750","773112","494279949","692623","540496","21165","99000","159140634","413161","55986","N/A","62645","158483","38576","1265","26109","N/A","N/A","N/A","N/A","N/A"
"177","Polaris","Australia","Metal","Big Indie Labels, Warner Music Group, Universal Music Group","16084","10538","420748","509532833","1028426","4473634","28959","120000","44673168","658303","26215","N/A","237148","146763","25573","N/A","48764","N/A","N/A","N/A","N/A","N/A"
"178","Ministry","United States","Metal","Big Indie Labels","16128","14586","609351","253607150","665906","12523003","26718","118000","58742248","636833","35127","730","133875","545973","71570","4256","4481","61821","97","1","5","71.70586092167962"
"179","Alesana","United States","Metal","Other Indie / Unsigned","16221","20396","509840","228548581","469545","2119212","28100","83600","95306581","694824","18276","16533","102368","2168128","175725","3793","35680","141792","2","0","0","3.6162309542003097"
"180","Currents","United States","Metal","Big Indie Labels","16392","11245","355618","469343111","1046626","4223175","36082","46300","15833538","237287","46089","4888","150713","99637","18864","N/A","29072","N/A","N/A","N/A","N/A","N/A"
"181","Alissa White-Gluz","Canada","Metal","Big Indie Labels","16407","43147","69396","50909698","215674","5377698","17527","86900","2500796","124231","9104","131287","939041","1085187","5400","N/A","54132","N/A","N/A","N/A","N/A","N/A"
"182","Demon Hunter","United States","Metal","Other Indie / Unsigned","16436","22352","354812","353887454","380628","2097317","18868","259000","110438182","1272209","37084","534","108824","409804","53084","4017","7127","N/A","N/A","N/A","N/A","N/A"
"183","Chelsea Grin","United States","Metal","N/A","16525","19376","572469","275626147","421947","2857166","21084","236000","113220022","1272775","18997","77137","351636","1141840","92541","9140","33152","N/A","N/A","N/A","N/A","N/A"
"184","Ola Englund","Sweden","Metal","Big Indie Labels","16534","151226","39604","7227649","13233","60815","9047","939000","307410102","9741496","25300","45506","401275","296166","2974","402224","97152","N/A","N/A","N/A","N/A","N/A"
"185","Tarja","Finland","Metal","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","16683","24095","402301","156130885","414014","2842087","21447","242000","59975972","637629","17091","1090","576870","1067909","174094","N/A","10134","N/A","N/A","N/A","N/A","N/A"
"186","Obituary","United States","Metal","Big Indie Labels","16780","23163","604848","140051738","318378","1690119","30060","104000","43717140","560357","21470","N/A","390226","748152","102294","N/A","11973","89790","N/A","N/A","N/A","N/A"
"187","PALEFACE","Switzerland","Metal","Big Indie Labels","17191","14228","333571","233849032","821745","9795459","25418","115000","13113599","397277","25929","46251","192620","57860","N/A","N/A","75004","N/A","N/A","N/A","N/A","N/A"
"188","Battle Beast","Finland","Metal","Big Indie Labels","17206","16309","303893","444518215","562770","4620340","19496","87700","148364453","991776","47853","N/A","79570","148516","65594","N/A","10902","N/A","N/A","N/A","N/A","N/A"
"189","Dethklok","United States","Metal","Warner Music Group","17343","14964","485712","422540991","555043","2676561","25777","164000","23837399","358204","23359","3656","83750","621843","34661","N/A","39225","N/A","N/A","N/A","N/A","N/A"
"190","Mushroomhead","United States","Metal","Big Indie Labels","17352","16157","870562","224385897","476703","2914389","19369","51400","231598242","2036222","35095","N/A","104954","632585","37291","N/A","17638","N/A","N/A","N/A","N/A","N/A"
"191","Wind Walkers","United States","Metal","Big Indie Labels","17445","11903","150456","256358658","1319613","3252158","34119","36000","7774776","106943","28189","N/A","55234","15379","1892","N/A","51013","N/A","N/A","N/A","N/A","N/A"
"192","Feuerschwanz","Germany","Metal","Big Indie Labels","17601","24759","247350","238299019","454022","1359989","22775","117000","106287059","1203865","25657","202435","157786","129217","42133","324","4689","N/A","N/A","N/A","N/A","N/A"
"193","Tony Iommi","United Kingdom","Metal","Sony Music Entertainment, BMG, Big Indie Labels","17670","36070","55741","30340650","227191","4967502","18936","125000","19736961","573280","6488","N/A","861012","1676824","78127","N/A","40777","N/A","N/A","N/A","N/A","N/A"
"194","Saurom","Spain","Metal","Big Indie Labels","17974","35701","231146","187355565","266038","337784","13381","251000","170456150","1712036","35775","30186","81252","262612","24737","943","21778","N/A","N/A","N/A","N/A","N/A"
"195","Soen","Sweden","Metal","Big Indie Labels","18001","29553","330071","189331260","260865","1278373","19015","93700","39458112","474351","19164","N/A","88392","139708","35279","N/A","21725","N/A","N/A","N/A","N/A","N/A"
"196","Bruce Dickinson","United Kingdom","Metal","BMG, Universal Music Group","18041","17517","680962","212331657","456848","6215121","20267","159000","73463159","792187","416253","N/A","N/A","5716","130783","N/A","6111","N/A","N/A","N/A","N/A","N/A"
"197","Beyond The Black","Germany","Metal","Big Indie Labels, Universal Music Group","18480","32772","189412","141133900","254589","2396841","25558","116000","41860090","642701","15356","32105","102161","117802","43707","1023","11921","N/A","N/A","N/A","N/A","N/A"
"198","The Ghost Inside","United States","Metal","Big Indie Labels","18533","15218","409074","356285039","747433","3736860","43047","46000","43064122","400879","23105","29957","224943","477191","60479","3891","13330","N/A","N/A","N/A","N/A","N/A"
