"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Immortal Rites","1989-01-01","N/A","Metal","N/A","N/A","Morbid Angel","N/A","N/A","N/A","N/A","226786","N/A","N/A","N/A","N/A","2204477.05","N/A","N/A","N/A","1596698","11231349","N/A","N/A","N/A","209037","1613567","N/A","N/A","N/A","2681","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","9430"
"Dreadbringer","2024-02-16","N/A","Metal","N/A","N/A","Aborted, Shadow of Intent","N/A","N/A","N/A","N/A","228090","N/A","N/A","N/A","N/A","2189494.4","N/A","N/A","N/A","2887918","3629100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","394","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1503"
"Dream Stealer","2024-07-31","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","229831","N/A","N/A","N/A","N/A","2168498.05","N/A","N/A","N/A","1963915","4887637","N/A","N/A","N/A","578663","2816604","N/A","N/A","N/A","925","N/A","N/A","N/A","N/A","852","1773","N/A","N/A","N/A","0","3546"
"Raven's Flight","2019-03-20","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","233859","N/A","N/A","N/A","N/A","2122330.395","N/A","N/A","N/A","1995904","25865888","N/A","N/A","N/A","367155","8765473","N/A","N/A","N/A","957","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","20409"
"Saw","2018-04-06","N/A","Metal","N/A","N/A","Orbit Culture","N/A","N/A","N/A","N/A","234157","N/A","N/A","N/A","N/A","2119205.185","N/A","N/A","N/A","2351321","8922875","N/A","N/A","N/A","423609","4150608","N/A","N/A","N/A","72","N/A","N/A","N/A","N/A","15284","59373","N/A","N/A","N/A","0","6060"
"Painkiller","1998-01-01","N/A","Metal","N/A","N/A","Death","N/A","N/A","N/A","N/A","234250","N/A","N/A","N/A","N/A","2118322.7","N/A","N/A","N/A","2564025","16479140","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","583","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"White Roses (feat. Divinity & Ymanie)","2026-03-26","N/A","Hip Hop","N/A","N/A","Fetty Wap, Divinity","N/A","N/A","N/A","N/A","235970","N/A","N/A","N/A","N/A","2099531.1","N/A","N/A","N/A","672768","131365","N/A","N/A","N/A","985378","1618640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52946","65138","N/A","N/A","N/A","N/A","N/A"
"Shadowminds","2021-11-09","N/A","Metal","N/A","N/A","The Halo Effect","N/A","N/A","N/A","N/A","241974","N/A","N/A","N/A","N/A","2036442.3999999994","N/A","N/A","N/A","2648113","13223043","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","189"
"Shoot 2 Kill","2024-07-02","N/A","Metal","N/A","N/A","PeelingFlesh","N/A","N/A","N/A","N/A","242056","N/A","N/A","N/A","N/A","2035633.0999999999","N/A","N/A","N/A","2711804","4761674","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","3958"
"Blood Dynasty","2024-12-04","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","245048","N/A","N/A","N/A","N/A","2005264.19","N/A","N/A","N/A","1473805","3032801","N/A","N/A","N/A","897454","2458857","N/A","N/A","N/A","1146","N/A","N/A","N/A","N/A","1418","2005","N/A","N/A","N/A","0","1771"
"First Kill","2016-01-25","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","246597","N/A","N/A","N/A","N/A","1989894.63","N/A","N/A","N/A","1740494","27373639","N/A","N/A","N/A","318517","13080853","N/A","N/A","N/A","1369","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","19346"
"Left Hand Path","1990-01-01","N/A","Metal","N/A","N/A","Entombed","N/A","N/A","N/A","N/A","247811","N/A","N/A","N/A","N/A","1977978.815","N/A","N/A","N/A","1414440","10619542","N/A","N/A","N/A","57869","304167","N/A","N/A","N/A","2846","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"What a Horrible Night to Have a Curse","2007-09-18","N/A","Metal","N/A","N/A","The Black Dahlia Murder","N/A","N/A","N/A","N/A","248178","N/A","N/A","N/A","N/A","1974307.815","N/A","N/A","N/A","1937572","20133892","N/A","N/A","N/A","385877","6133222","N/A","N/A","N/A","531","N/A","N/A","N/A","N/A","15063","93077","N/A","N/A","N/A","0","14455"
"Dead as Shit","2021-02-05","N/A","Metal","N/A","N/A","Sanguisugabogg","N/A","N/A","N/A","N/A","248409","N/A","N/A","N/A","N/A","1972018.935","N/A","N/A","N/A","2444956","8197706","N/A","N/A","N/A","134556","518509","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","21542"
"Oops!...I Did It Again","2005-01-01","N/A","Metal","N/A","N/A","Children Of Bodom","N/A","N/A","N/A","N/A","256512","N/A","N/A","N/A","N/A","1895918.6399999997","N/A","N/A","N/A","2321569","18587409","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","510","N/A","N/A","N/A","N/A","1754","7623","N/A","N/A","N/A","N/A","N/A"
"We Will Rise","2003-01-01","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","259138","N/A","N/A","N/A","N/A","1872930.815","N/A","N/A","N/A","1000514","13384649","N/A","N/A","N/A","272628","8065353","N/A","N/A","N/A","2847","N/A","N/A","N/A","N/A","1287","8461","N/A","N/A","N/A","0","19847"
"Left to Rot","2012-01-01","N/A","Metal","N/A","N/A","Monastery Dead","N/A","N/A","N/A","N/A","261125","N/A","N/A","N/A","N/A","1856141.3050000002","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","198","1402","N/A","N/A","N/A","6049","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kill or Become","2014-09-16","N/A","Metal","N/A","N/A","Cannibal Corpse","N/A","N/A","N/A","N/A","261253","N/A","N/A","N/A","N/A","1854995.73","N/A","N/A","N/A","388995","5860408","N/A","N/A","N/A","25920","6062064","N/A","N/A","N/A","5106","N/A","N/A","N/A","N/A","2814","23099","N/A","N/A","N/A","0","6164"
"You Will Know My Name","2014-06-04","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","261515","N/A","N/A","N/A","N/A","1852645.8000000003","N/A","N/A","N/A","1297216","21776118","N/A","N/A","N/A","613438","41654491","N/A","N/A","N/A","1251","N/A","N/A","N/A","N/A","1124","5997","N/A","N/A","N/A","N/A","N/A"
"Tiga Titik Hitam","2004-01-05","N/A","Metal","N/A","N/A","Burgerkill","N/A","N/A","N/A","N/A","262704","N/A","N/A","N/A","N/A","1842008.3150000002","N/A","N/A","N/A","818834","7261792","N/A","N/A","N/A","1388609","13045889","N/A","N/A","N/A","94","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","3176"
"Grotesque Impalement","2000-01-01","N/A","Metal","N/A","N/A","Dying Fetus","N/A","N/A","N/A","N/A","262889","N/A","N/A","N/A","N/A","1840103.1999999997","N/A","N/A","N/A","2093147","9335509","N/A","N/A","N/A","0","21714","N/A","N/A","N/A","754","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","12342"
"Entombment of a Machine","2005-01-01","N/A","Metal","N/A","N/A","Job For A Cowboy","N/A","N/A","N/A","N/A","263032","N/A","N/A","N/A","N/A","1838980.625","N/A","N/A","N/A","1994300","15677195","N/A","N/A","N/A","1","10130","N/A","N/A","N/A","865","N/A","N/A","N/A","N/A","32905","135121","N/A","N/A","N/A","0","31942"
"Feeding The Meatgrinder","2025-04-10","N/A","Metal","N/A","N/A","Shadow of Intent, Corpsegrinder","N/A","N/A","N/A","N/A","263142","N/A","N/A","N/A","N/A","1837918.74","N/A","N/A","N/A","2124514","2394502","N/A","N/A","N/A","385120","487385","N/A","N/A","N/A","164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Crack the Sky","2019-04-17","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","266094","N/A","N/A","N/A","N/A","1812719.9949999996","N/A","N/A","N/A","1476290","20615701","N/A","N/A","N/A","386491","5975381","N/A","N/A","N/A","1159","N/A","N/A","N/A","N/A","4876","15752","N/A","N/A","N/A","0","10084"
"Menschenmühle","2024-05-29","N/A","Metal","N/A","N/A","Kanonenfieber","N/A","N/A","N/A","N/A","266885","N/A","N/A","N/A","N/A","1805780.0999999999","N/A","N/A","N/A","2362211","4689660","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","6802"
"If You Want Peace... Prepare For War","2005-01-01","N/A","Metal","N/A","N/A","Children Of Bodom","N/A","N/A","N/A","N/A","267499","N/A","N/A","N/A","N/A","1800657","N/A","N/A","N/A","2300722","18627821","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","165","N/A","N/A","N/A","N/A","7830","33642","N/A","N/A","N/A","N/A","N/A"
"Death Diviner","2020-05-29","N/A","Metal","N/A","N/A","Soilwork","N/A","N/A","N/A","N/A","268850","N/A","N/A","N/A","N/A","1789145.9100000001","N/A","N/A","N/A","1947219","20451966","N/A","N/A","N/A","87613","954821","N/A","N/A","N/A","767","N/A","N/A","N/A","N/A","8465","75709","N/A","N/A","N/A","N/A","N/A"
"God of Emptiness","1993-01-01","N/A","Metal","N/A","N/A","Morbid Angel","N/A","N/A","N/A","N/A","271576","N/A","N/A","N/A","N/A","1766641.985","N/A","N/A","N/A","637237","3816575","N/A","N/A","N/A","540471","6015135","N/A","N/A","N/A","2710","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lucens","2025-12-05","N/A","Metal","N/A","N/A","Somniare","N/A","N/A","N/A","N/A","273041","N/A","N/A","N/A","N/A","1754622","N/A","N/A","N/A","1879877","1904422","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stabbing the Drama","2005-02-28","N/A","Metal","N/A","N/A","Soilwork","N/A","N/A","N/A","N/A","278516","N/A","N/A","N/A","N/A","1712304.33","N/A","N/A","N/A","1756070","23367131","N/A","N/A","N/A","156045","3542802","N/A","N/A","N/A","818","N/A","N/A","N/A","N/A","3313","11871","N/A","N/A","N/A","0","23424"
"Chopped in Half","1990-01-01","N/A","Metal","N/A","N/A","Obituary","N/A","N/A","N/A","N/A","279278","N/A","N/A","N/A","N/A","1706647.9","N/A","N/A","N/A","1641883","9465204","N/A","N/A","N/A","20360","1731263","N/A","N/A","N/A","1462","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37","8147"
"A Million Suns","2025-03-28","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","281967","N/A","N/A","N/A","N/A","1686276.365","N/A","N/A","N/A","1237329","1768701","N/A","N/A","N/A","1134156","1538058","N/A","N/A","N/A","608","N/A","N/A","N/A","N/A","642","699","N/A","N/A","N/A","0","52"
"Pushing Me","1999-01-01","N/A","Metal","N/A","N/A","Slaves on Dope","N/A","N/A","N/A","N/A","282031","N/A","N/A","N/A","N/A","1685805.7799999998","N/A","N/A","N/A","2098206","5885705","N/A","N/A","N/A","8326","42940","N/A","N/A","N/A","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","2414"
"Nerve","2025-09-03","N/A","Metal","N/A","N/A","Orbit Culture","N/A","N/A","N/A","N/A","283593","N/A","N/A","N/A","N/A","1674489.4000000001","N/A","N/A","N/A","1954999","2884851","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","594","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"We Live We Love We Lie","2023-12-03","N/A","Metal","N/A","N/A","Demise.","N/A","N/A","N/A","N/A","284219","N/A","N/A","N/A","N/A","1670367.9","N/A","N/A","N/A","2217779","6808099","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporal Jigsore Quandary","1991-01-01","N/A","Metal","N/A","N/A","Carcass","N/A","N/A","N/A","N/A","284611","N/A","N/A","N/A","N/A","1667397.8449999997","N/A","N/A","N/A","1089014","5416015","N/A","N/A","N/A","718162","4783521","N/A","N/A","N/A","754","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","10172"
"Death In Fire","2020-11-26","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","286089","N/A","N/A","N/A","N/A","1656442.7149999999","N/A","N/A","N/A","832389","9897508","N/A","N/A","N/A","197951","10880157","N/A","N/A","N/A","2784","N/A","N/A","N/A","N/A","2480","15017","N/A","N/A","N/A","0","13714"
"Doigts de Metal","2024-09-19","N/A","Metal","N/A","N/A","Ultra Vomit","N/A","N/A","N/A","N/A","289115","N/A","N/A","N/A","N/A","1635629.665","N/A","N/A","N/A","1144026","2535153","N/A","N/A","N/A","903024","2927668","N/A","N/A","N/A","287","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","3616"
"The Pulse of the Dead","2013-08-02","N/A","Metal","N/A","N/A","Parasite Inc.","N/A","N/A","N/A","N/A","289699","N/A","N/A","N/A","N/A","1631912.7899999998","N/A","N/A","N/A","1104876","6701892","N/A","N/A","N/A","671515","10328626","N/A","N/A","N/A","545","N/A","N/A","N/A","N/A","12841","105503","N/A","N/A","N/A","0","11886"
"Slowly We Rot","1989-01-01","N/A","Metal","N/A","N/A","Obituary","N/A","N/A","N/A","N/A","290217","N/A","N/A","N/A","N/A","1628158.2349999999","N/A","N/A","N/A","1513227","9466354","N/A","N/A","N/A","22124","398653","N/A","N/A","N/A","1530","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inhumane Harvest","2021-02-02","N/A","Metal","N/A","N/A","Cannibal Corpse","N/A","N/A","N/A","N/A","290391","N/A","N/A","N/A","N/A","1626978.54","N/A","N/A","N/A","1745040","11268520","N/A","N/A","N/A","160291","1903168","N/A","N/A","N/A","466","N/A","N/A","N/A","N/A","21461","122918","N/A","N/A","N/A","69","10700"
"Strangler","2021-09-24","N/A","Metal","N/A","N/A","Orbit Culture","N/A","N/A","N/A","N/A","292829","N/A","N/A","N/A","N/A","1610090.31","N/A","N/A","N/A","2097877","8188335","N/A","N/A","N/A","1473","23106","N/A","N/A","N/A","119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","11466"
"Suicide Machine - Live","2011-06-21","N/A","Metal","N/A","N/A","Death","N/A","N/A","N/A","N/A","293368","N/A","N/A","N/A","N/A","1606421.2","N/A","N/A","N/A","6931","78386","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5313","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wolverine Blues","1993-10-04","N/A","Metal","N/A","N/A","Entombed","N/A","N/A","N/A","N/A","295805","N/A","N/A","N/A","N/A","1590130.42","N/A","N/A","N/A","1100105","11151894","N/A","N/A","N/A","350416","3700214","N/A","N/A","N/A","1557","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","8948"
"Raise Your Banner","2018-11-16","N/A","Metal","N/A","N/A","Within Temptation, Anders Friden","N/A","N/A","N/A","N/A","296359","N/A","N/A","N/A","N/A","1586696.085","N/A","N/A","N/A","1076528","10822484","N/A","N/A","N/A","738744","22912809","N/A","N/A","N/A","612","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36","24263"
"Soulrending Materiae","2023-11-10","N/A","Metal","N/A","N/A","The Ritual Aura","N/A","N/A","N/A","N/A","298718","N/A","N/A","N/A","N/A","1571720","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4831","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Flattening of Emotions","2011-06-21","N/A","Metal","N/A","N/A","Death","N/A","N/A","N/A","N/A","303576","N/A","N/A","N/A","N/A","1539868.7","N/A","N/A","N/A","24907","240742","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","4730"
"Flesh and the Power It Holds","1998-01-01","N/A","Metal","N/A","N/A","Death","N/A","N/A","N/A","N/A","305459","N/A","N/A","N/A","N/A","1527469.4","N/A","N/A","N/A","2002484","12957700","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Redfog","2018-04-06","N/A","Metal","N/A","N/A","Orbit Culture","N/A","N/A","N/A","N/A","308578","N/A","N/A","N/A","N/A","1508186.3499999999","N/A","N/A","N/A","1782495","6802760","N/A","N/A","N/A","206558","2238014","N/A","N/A","N/A","22","N/A","N/A","N/A","N/A","11972","41533","N/A","N/A","N/A","0","2496"
"Bite the Pain","1998-01-01","N/A","Metal","N/A","N/A","Death","N/A","N/A","N/A","N/A","309980","N/A","N/A","N/A","N/A","1499266.0999999999","N/A","N/A","N/A","1838548","9406698","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","348","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Find a Way or Make One","2022-08-05","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","310532","N/A","N/A","N/A","N/A","1495995.42","N/A","N/A","N/A","1464690","10428151","N/A","N/A","N/A","428433","3382751","N/A","N/A","N/A","40","N/A","N/A","N/A","N/A","1378","1536","N/A","N/A","N/A","0","5795"
"Kammthaar","2017-04-07","N/A","Metal","N/A","N/A","Ultra Vomit","N/A","N/A","N/A","N/A","312005","N/A","N/A","N/A","N/A","1487198.255","N/A","N/A","N/A","1146435","8776121","N/A","N/A","N/A","664750","10751166","N/A","N/A","N/A","321","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","23271"
"Scavenger of Human Sorrow","1998-01-01","N/A","Metal","N/A","N/A","Death","N/A","N/A","N/A","N/A","312097","N/A","N/A","N/A","N/A","1486652.8000000003","N/A","N/A","N/A","1855359","12221256","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","295","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Drone Corpse Aviator","2021-10-01","N/A","Metal","N/A","N/A","Archspire","N/A","N/A","N/A","N/A","314422","N/A","N/A","N/A","N/A","1472655.19","N/A","N/A","N/A","1682115","8512336","N/A","N/A","N/A","70282","254624","N/A","N/A","N/A","405","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","8303"
"Sunset over the Empire","2022-05-20","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","316191","N/A","N/A","N/A","N/A","1462342.1300000001","N/A","N/A","N/A","1000567","11381954","N/A","N/A","N/A","736635","7021020","N/A","N/A","N/A","355","N/A","N/A","N/A","N/A","900","3839","N/A","N/A","N/A","0","8077"
"Nerve","2005-02-28","N/A","Metal","N/A","N/A","Soilwork","N/A","N/A","N/A","N/A","316234","N/A","N/A","N/A","N/A","1462102.0749999997","N/A","N/A","N/A","1697640","21767902","N/A","N/A","N/A","109842","3464905","N/A","N/A","N/A","275","N/A","N/A","N/A","N/A","2630","13897","N/A","N/A","N/A","0","15219"
