"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"130","John Norum","Norway","Metal","Sony Music Entertainment, Big Indie Labels","39570","106527","257","45640","143898","17565111","558","40675","274801","31183","100","24000","43005","8061409","478","95620","73765","N/A","N/A","N/A","N/A","1950","26734","1237","274","125029","25","7046","N/A","N/A","N/A","270","31457","465","23","69","N/A","N/A","N/A","N/A","N/A","N/A"
"131","Barón Rojo","Spain","Metal","N/A","40752","46673","896","194386","679302","74710233","-4332","146755","693660","56386","300","44100","16314","14447049","189","83266","57658","N/A","N/A","N/A","N/A","898","11508","1964","-378","302055","101","56128","3","355","468","797","14694","1348","24","119","N/A","N/A","N/A","N/A","N/A","N/A"
"132","HAGANE","Japan","Metal","Other Indie / Unsigned","41713","148392","660","21030","177427","3702941","-1068","19719","38936","19102","1100","84700","643939","16071502","8666","376538","12763","12","30871","3690","33314","17046","55344","4682","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","319573","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A"
"133","Jonny Atma","United States","Metal","N/A","41842","88390","414","36246","658719","44638941","1737","102176","393416","14510","1000","306000","1927024","201946160","21337","3876940","244944","N/A","N/A","N/A","N/A","99","1965","15","-5","1859","26","1417","N/A","N/A","N/A","88","216412","10","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"134","Wig Wam","Norway","Rock","Big Indie Labels, Universal Music Group, Warner Music Group","42234","29322","611","54187","1276950","98656315","-6539","424522","1181101","47748","0","14900","145824","10957960","1023","168396","109643","-14","10625","50","779","429","5784","264","-7","18030","145","5281","N/A","N/A","N/A","1642","19423","878","33","149","N/A","N/A","N/A","N/A","N/A","N/A"
"135","As The Structure Fails","Canada","Metal","N/A","42315","62779","1337","55138","602659","18987435","9912","163166","1406144","59447","300","35900","57698","4014989","1218","113840","45923","-28","89806","688","4504","8723","85907","181136","2064","64256","50","1059","N/A","N/A","N/A","86","51567","67","5","12","N/A","N/A","N/A","N/A","N/A","N/A"
"136","Asterism","Japan","Metal","Sony Music Entertainment","42369","164320","256","21705","43374","2331460","-1183","10280","263701","29043","200","84300","174408","25996602","3085","551747","12534","N/A","N/A","N/A","N/A","0","9235","0","2530","253562","23","586","N/A","N/A","N/A","76","100504","87","5","6","N/A","N/A","N/A","N/A","N/A","N/A"
"137","Andy James","United Kingdom","Metal","Big Indie Labels","42786","90190","275","64749","317660","41181187","-4131","57451","451576","33619","1000","174000","180987","26248802","1699","465336","42111","9","1328","2","23","-881","174980","1276","-383","199487","41","14764","N/A","N/A","N/A","275","95563","92","7","11","N/A","N/A","N/A","N/A","N/A","N/A"
"138","Bruno Sutter","Brazil","Metal","Big Indie Labels","43014","243524","39","15201","22320","4321260","28","2817","34924","34656","0","279000","75893","19868568","885","947124","22489","352","81584","8362","12005","40644","452387","25360","-435","194491","9","2501","N/A","N/A","N/A","4","345799","2","1","2","N/A","N/A","N/A","N/A","N/A","N/A"
"139","Avalanch","Spain","Metal","Big Indie Labels","43064","48875","1102","238772","842587","86457941","-6566","111303","418950","63088","20","6060","131094","15112839","582","103650","58147","N/A","N/A","N/A","N/A","1168","36659","477","-293","236120","93","58948","N/A","N/A","N/A","293","16694","1206","28","94","N/A","N/A","N/A","N/A","N/A","N/A"
"140","Lyric Noel","United States","Metal","N/A","43260","68844","479","50373","466129","10710167","28900","158124","523758","29589","1000","129000","303094","19221031","4569","723992","37956","N/A","N/A","N/A","N/A","1735","213652","2808","879","147456","23","1338","0","6","7","4","142310","50","5","13","N/A","N/A","N/A","N/A","N/A","N/A"
"141","vkgoeswild","Ukraine","Classical","N/A","43359","354137","51","3815","8281","221896","-26","1962","161","16232","1000","759000","313544","239517873","4592","3819514","85369","3","286","1","21","899","16979","1187","-160","103368","25","500","N/A","N/A","N/A","3","422626","0","1","1","166087","1","0","0","0.013201023080275476","0.2640204616055095"
