"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"467","Kmac2021","United Kingdom","Metal","Big Indie Labels","37022","168495","9","23138","16523","12012399","-205","11778","77969","14417","0","1010000","103163","204678024","886","9614841","83736","N/A","N/A","N/A","N/A","-50","65239","0","N/A","N/A","6","931","-2","9533","257","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"468","Orden Ogan","Germany","Metal","Big Indie Labels","37134","32362","178","163928","315716","161820347","-5207","246531","833936","46816","100","28800","22650","41144250","193","409711","75063","N/A","N/A","N/A","N/A","46","29701","917","29","134781","40","20736","N/A","N/A","N/A","5","15075","253","20","60","N/A","N/A","N/A","N/A","N/A","N/A"
"469","Nightmare","Japan","Metal","N/A","37179","16645","622","191324","553992","202407088","5053","738212","3217124","158455","0","2710","1166","657564","9","7374","120285","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","16589","N/A","N/A","N/A","N/A","N/A","146","22416","191","15","24","N/A","N/A","N/A","N/A","N/A","N/A"
"470","Eyehategod","United States","Metal","Other Indie / Unsigned","37235","47639","716","188128","216153","42125428","-1176","155647","381500","61410","200","19200","4614","2978374","81","35850","49120","N/A","N/A","N/A","N/A","1203","118642","8770","-19","173609","36","13319","N/A","N/A","N/A","0","48763","47","8","14","N/A","N/A","N/A","N/A","N/A","N/A"
"471","Castle Rat","United States","Metal","N/A","37241","54805","3884","87658","252000","12171704","12354","111024","1007150","42973","-100","10100","6950","474425","217","32513","93352","N/A","N/A","N/A","N/A","14262","101141","12260","N/A","N/A","162","2991","17","468","416","N/A","69582","53","9","14","N/A","N/A","N/A","N/A","N/A","N/A"
"472","Mortician","United States","Metal","Big Indie Labels","37268","38655","654","252291","195117","54651295","-3586","202965","290480","49760","300","38400","272","425338","8","7995","62339","N/A","N/A","N/A","N/A","684","50628","3098","-142","198101","23","9857","N/A","N/A","N/A","0","112359","19","8","8","N/A","N/A","N/A","N/A","N/A","N/A"
"473","Aeronwen","United States","Metal","Other Indie / Unsigned","37365","426549","0","1534","505","176011","-23","674","1568","12092","0","67300","6","4593771","0","2481","186885","N/A","N/A","N/A","N/A","-47","20991","3","N/A","N/A","0","48","0","10","2","0","256840","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"474","Humanity's Last Breath","Sweden","Metal","Big Indie Labels, Sony Music Entertainment","37409","48991","228","120665","137242","45636341","-7093","131741","3423866","45361","0","48600","274","8822185","7","246242","81884","3","1644","14","0","217","44124","56","-8","72157","43","9005","N/A","N/A","N/A","1","267496","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"475","Intervals","Canada","Metal","Universal Music Group, Big Indie Labels","37537","35087","199","225685","241752","152399819","-1091","220222","2185557","41184","0","115000","46470","34745112","389","443735","43145","N/A","N/A","N/A","N/A","241","165943","5011","-110","178214","19","19409","N/A","N/A","N/A","3","155826","7","6","6","N/A","N/A","N/A","N/A","N/A","N/A"
"476","Biohazard","United States","Metal","Other Indie / Unsigned","37538","35198","322","229343","154123","63801363","-2836","167832","6029258","48812","0","12300","36307","22586790","290","210136","N/A","6","4410","16","0","472","47041","1713","-33","236952","44","39660","N/A","N/A","N/A","1","17830","195","23","70","N/A","N/A","N/A","N/A","N/A","N/A"
"477","Job For A Cowboy","United States","Metal","Big Indie Labels","37623","40461","593","284587","162221","66207873","-1330","161309","1038587","91889","0","5030","3680","10654029","31","92622","37819","N/A","N/A","N/A","N/A","54","58239","22","0","573632","35","48022","7","4411","2348","0","38063","78","8","19","N/A","N/A","N/A","N/A","N/A","N/A"
"478","Taproot","United States","Metal","N/A","37625","24693","517","341267","224451","110770027","-9781","335637","5684911","64968","0","3410","24657","16921564","208","134032","79156","N/A","N/A","N/A","N/A","0","439","0","-7","125939","21","25780","1","1365","1905","72","21014","172","16","47","N/A","N/A","N/A","N/A","N/A","N/A"
"479","Diamond Head","United Kingdom","Metal","Big Indie Labels","37654","49563","341","209124","58939","36034675","-2176","146511","980078","45373","200","63700","30058","11620305","408","272346","79634","N/A","N/A","N/A","N/A","-8","19998","7","-37","118272","25","15970","N/A","N/A","N/A","62","13559","343","24","98","N/A","N/A","N/A","N/A","N/A","N/A"
"480","Percival Schuttenbach","Poland","Metal","Sony Music Entertainment, Big Indie Labels","37722","24914","111","67360","483613","225477657","-770","402931","2219625","23975","0","75800","106414","168526916","472","987727","61902","2","4454","195","0","-9","20619","64","5","55988","6","4535","0","264","3","6","117847","13","3","5","N/A","N/A","N/A","N/A","N/A","N/A"
"481","Adema","United States","Metal","Big Indie Labels","37744","24427","397","329583","242199","114621821","-2474","350492","5114454","45414","0","6090","60436","41471480","551","364298","120712","N/A","N/A","N/A","N/A","87","13265","11","0","43972","25","21628","N/A","N/A","N/A","0","17641","234","13","59","N/A","N/A","N/A","N/A","N/A","N/A"
"482","Septicflesh","Greece","Metal","Big Indie Labels","37745","46373","350","211908","159610","78691189","-1545","125565","968154","47733","0","45100","20408","18059652","155","244761","48260","N/A","N/A","N/A","N/A","31","102685","481","0","181994","60","32251","0","3509","452","17","29069","118","13","24","N/A","N/A","N/A","N/A","N/A","N/A"
