"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"You & Me - Rivo Remix","2023-12-22","N/A","Electronic","N/A","N/A","Disclosure, Eliza Doolittle, Rivo","N/A","N/A","N/A","N/A","2037","N/A","N/A","N/A","N/A","156759026.94500002","N/A","N/A","N/A","172175592","428376215","N/A","N/A","N/A","53885281","128744505","N/A","N/A","N/A","10985","N/A","N/A","N/A","N/A","1005763","2705904","N/A","N/A","N/A","N/A","N/A"
"Clarity","2012-01-01","N/A","Electronic","N/A","N/A","Zedd, Foxes","N/A","N/A","N/A","N/A","2042","N/A","N/A","N/A","N/A","156481965.45","N/A","N/A","N/A","130168163","792295256","N/A","N/A","N/A","36371008","612778746","N/A","N/A","N/A","89127","N/A","N/A","N/A","N/A","599609","2031941","N/A","N/A","N/A","35792","7243372"
"Mr Loverman","2016-04-08","N/A","Pop","N/A","N/A","Ricky Montgomery, Chloe Moriondo","N/A","N/A","N/A","N/A","2058","N/A","N/A","N/A","N/A","155877824.90499997","N/A","N/A","N/A","178138480","878760903","N/A","N/A","N/A","23634205","101524853","N/A","N/A","N/A","1004","N/A","N/A","N/A","N/A","632707","5756794","N/A","N/A","N/A","93","8507"
"exile (feat. Bon Iver)","2020-07-24","N/A","Pop","N/A","N/A","Taylor Swift, Bon Iver","N/A","N/A","N/A","N/A","2059","N/A","N/A","N/A","N/A","155844154.87500006","N/A","N/A","N/A","179581816","1066748163","N/A","N/A","N/A","20535829","168715594","N/A","N/A","N/A","10457","N/A","N/A","N/A","N/A","42331","292342","N/A","N/A","N/A","N/A","N/A"
"kota ini tak sama tanpamu","2025-06-20","N/A","Pop","N/A","N/A","Nadhif Basalamah","N/A","N/A","N/A","N/A","2126","N/A","N/A","N/A","N/A","152780268.01","N/A","N/A","N/A","121694567","155832848","N/A","N/A","N/A","31019523","31369015","N/A","N/A","N/A","3372","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kita Usahakan Lagi","2025-04-11","N/A","Pop","N/A","N/A","Batas Senja","N/A","N/A","N/A","N/A","2130","N/A","N/A","N/A","N/A","152427996.24","N/A","N/A","N/A","119550427","130515266","N/A","N/A","N/A","76515041","78442578","N/A","N/A","N/A","6505","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Happy Song","2016-10-17","N/A","Pop","N/A","N/A","Imogen Heap","N/A","N/A","N/A","N/A","2141","N/A","N/A","N/A","N/A","152085461.78000003","N/A","N/A","N/A","144059562","366702595","N/A","N/A","N/A","48101645","125340446","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","564113","1416299","N/A","N/A","N/A","1082","58732"
"Can I Call You Tonight?","2019-11-14","N/A","Pop","N/A","N/A","Dayglow","N/A","N/A","N/A","N/A","2142","N/A","N/A","N/A","N/A","152023560.32","N/A","N/A","N/A","166881960","752195654","N/A","N/A","N/A","31837051","241384536","N/A","N/A","N/A","10616","N/A","N/A","N/A","N/A","130552","4057073","N/A","N/A","N/A","4407","2558440"
"Casual","2022-10-28","N/A","Pop","N/A","N/A","Chappell Roan","N/A","N/A","N/A","N/A","2156","N/A","N/A","N/A","N/A","151240826.365","N/A","N/A","N/A","188976591","561754829","N/A","N/A","N/A","7747942","35963061","N/A","N/A","N/A","4737","N/A","N/A","N/A","N/A","564843","1737613","N/A","N/A","N/A","N/A","N/A"
"Courtside","2025-05-13","N/A","Pop","N/A","N/A","Karan Aujla, Signature By Sb","N/A","N/A","N/A","N/A","2157","N/A","N/A","N/A","N/A","151096574.27","N/A","N/A","N/A","71710777","74984952","N/A","N/A","N/A","97350628","119036671","N/A","N/A","N/A","70","N/A","N/A","N/A","N/A","1866258","2030393","N/A","N/A","N/A","N/A","N/A"
"I Follow Rivers - The Magician Remix","2011-01-01","N/A","Pop","N/A","N/A","Lykke Li, The Magician","N/A","N/A","N/A","N/A","2194","N/A","N/A","N/A","N/A","149674949.38","N/A","N/A","N/A","190824537","876807764","N/A","N/A","N/A","4666222","122105241","N/A","N/A","N/A","688","N/A","N/A","N/A","N/A","82529","6798127","N/A","N/A","N/A","N/A","N/A"
"King","2015-02-03","N/A","Pop","N/A","N/A","Olly Alexander","N/A","N/A","N/A","N/A","2201","N/A","N/A","N/A","N/A","149222259.415","N/A","N/A","N/A","118637834","867514009","N/A","N/A","N/A","19432625","409973969","N/A","N/A","N/A","143243","N/A","N/A","N/A","N/A","643600","27536824","N/A","N/A","N/A","N/A","N/A"
"Fuiste Tú (feat. Gaby Moreno)","2011-01-01","N/A","Pop","N/A","N/A","Ricardo Arjona, Gaby Moreno","N/A","N/A","N/A","N/A","2228","N/A","N/A","N/A","N/A","147518730.5","N/A","N/A","N/A","65813024","578761286","N/A","N/A","N/A","114416853","1705158815","N/A","N/A","N/A","9507","N/A","N/A","N/A","N/A","61416","116939","N/A","N/A","N/A","13818","1676840"
"Say My Name - Remix","2024-12-06","N/A","Pop","N/A","N/A","Morgan Seatree, Florence + The Machine","N/A","N/A","N/A","N/A","2236","N/A","N/A","N/A","N/A","146951288.5","N/A","N/A","N/A","184467194","224466400","N/A","N/A","N/A","3118552","3301587","N/A","N/A","N/A","28899","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","18577","148552"
"Nobody New","2025-04-02","N/A","Pop","N/A","N/A","The Marías","N/A","N/A","N/A","N/A","2242","N/A","N/A","N/A","N/A","146750290.54999998","N/A","N/A","N/A","174320269","186168517","N/A","N/A","N/A","14536444","14811846","N/A","N/A","N/A","460","N/A","N/A","N/A","N/A","895954","901546","N/A","N/A","N/A","0","8741"
"To the Bone","2019-06-14","N/A","Pop","N/A","N/A","Pamungkas","N/A","N/A","N/A","N/A","2269","N/A","N/A","N/A","N/A","145493707.29500002","N/A","N/A","N/A","107490076","653521873","N/A","N/A","N/A","75078471","625374319","N/A","N/A","N/A","3374","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6173","467507"
"labour","2023-03-23","N/A","Pop","N/A","N/A","Paris Paloma","N/A","N/A","N/A","N/A","2272","N/A","N/A","N/A","N/A","145417669.34","N/A","N/A","N/A","119871798","384459087","N/A","N/A","N/A","72602069","127786135","N/A","N/A","N/A","3846","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overdrive (feat. Norma Jean Martine)","2023-10-06","N/A","Electronic","N/A","N/A","Ofenbach, Norma Jean Martine","N/A","N/A","N/A","N/A","2283","N/A","N/A","N/A","N/A","144856834.73999998","N/A","N/A","N/A","104831370","535377372","N/A","N/A","N/A","45386360","156087666","N/A","N/A","N/A","111924","N/A","N/A","N/A","N/A","321176","1073951","N/A","N/A","N/A","27911","4046026"
"Out of My League","2013-02-08","N/A","Pop","N/A","N/A","Fitz & The Tantrums","N/A","N/A","N/A","N/A","2284","N/A","N/A","N/A","N/A","144824241.955","N/A","N/A","N/A","174285399","1044421258","N/A","N/A","N/A","7709512","93370852","N/A","N/A","N/A","15227","N/A","N/A","N/A","N/A","2499748","32809192","N/A","N/A","N/A","N/A","N/A"
"SNAP","2022-03-19","N/A","Pop","N/A","N/A","Rosa Linn","N/A","N/A","N/A","N/A","2291","N/A","N/A","N/A","N/A","144354895.69000003","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","97186643","524090397","N/A","N/A","N/A","217607","N/A","N/A","N/A","N/A","125149","267493","N/A","N/A","N/A","N/A","N/A"
"กลัวว่าฉันจะไม่เสียใจ (Fear)","2025-04-09","N/A","Pop","N/A","N/A","PURPEECH","N/A","N/A","N/A","N/A","2310","N/A","N/A","N/A","N/A","143749620.435","N/A","N/A","N/A","34623819","51905848","N/A","N/A","N/A","104874463","106327101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Black Friday","2023-09-20","N/A","Pop","N/A","N/A","Tom Odell","N/A","N/A","N/A","N/A","2351","N/A","N/A","N/A","N/A","142011806.2","N/A","N/A","N/A","137420230","367302082","N/A","N/A","N/A","13854761","33127373","N/A","N/A","N/A","81626","N/A","N/A","N/A","N/A","1651360","5001580","N/A","N/A","N/A","N/A","N/A"
"Tuesday","2016-06-17","N/A","Electronic","N/A","N/A","Burak Yeter, Danelle Sandoval","N/A","N/A","N/A","N/A","2357","N/A","N/A","N/A","N/A","141833552.755","N/A","N/A","N/A","68066323","702756375","N/A","N/A","N/A","53327168","1196688486","N/A","N/A","N/A","164737","N/A","N/A","N/A","N/A","66558","272655","N/A","N/A","N/A","65465","21417970"
"On My Mind","2025-06-27","N/A","Pop","N/A","N/A","Alex Warren, ROSÉ (로제)","N/A","N/A","N/A","N/A","2362","N/A","N/A","N/A","N/A","141656558.2","N/A","N/A","N/A","116328620","118247396","N/A","N/A","N/A","19662374","27326023","N/A","N/A","N/A","124911","N/A","N/A","N/A","N/A","162429","169885","N/A","N/A","N/A","N/A","N/A"
"we never dated","2025-06-20","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","2366","N/A","N/A","N/A","N/A","141494823.505","N/A","N/A","N/A","166276406","169884231","N/A","N/A","N/A","9904520","10484062","N/A","N/A","N/A","14309","N/A","N/A","N/A","N/A","1394304","1428121","N/A","N/A","N/A","N/A","N/A"
"Burning Down","2024-09-20","N/A","Pop","N/A","N/A","Alex Warren","N/A","N/A","N/A","N/A","2377","N/A","N/A","N/A","N/A","141107812.26999998","N/A","N/A","N/A","152191878","281520161","N/A","N/A","N/A","11649802","19648300","N/A","N/A","N/A","62173","N/A","N/A","N/A","N/A","1317034","2012567","N/A","N/A","N/A","32509","387668"
