"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Sen bilan borman","2025-03-22","N/A","Pop","N/A","N/A","Yulduz Turdiyeva","N/A","N/A","N/A","N/A","12972","N/A","N/A","N/A","N/A","39103509.81","N/A","N/A","N/A","138310","140517","N/A","N/A","N/A","39530635","39727694","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1511","1520","N/A","N/A","N/A","N/A","N/A"
"Golden - Acapella","2025-06-19","N/A","Pop","N/A","N/A","HUNTR/X, EJAE, Audrey Nuna, REI AMI","N/A","N/A","N/A","N/A","15689","N/A","N/A","N/A","N/A","33409826","N/A","N/A","N/A","43899243","51784557","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4401","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Guzaara (From "Baaghi 4")","2025-08-18","N/A","Pop","N/A","N/A","Josh Brar, Parampara Tandon, Bunty Bains, Salamat Ali Matoi, Jagdeep Warring, Agaazz","N/A","N/A","N/A","N/A","15703","N/A","N/A","N/A","N/A","33378392.345","N/A","N/A","N/A","42499224","43579761","N/A","N/A","N/A","70882","76535","N/A","N/A","N/A","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ride","2021-10-08","N/A","Pop","N/A","N/A","HYBS","N/A","N/A","N/A","N/A","16185","N/A","N/A","N/A","N/A","32475887.665","N/A","N/A","N/A","31876930","172262818","N/A","N/A","N/A","10365681","56269423","N/A","N/A","N/A","863","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Never Let Go","2026-01-13","N/A","Pop","N/A","N/A","LNGSHOT","N/A","N/A","N/A","N/A","18744","N/A","N/A","N/A","N/A","28602312.825","N/A","N/A","N/A","24763386","26257982","N/A","N/A","N/A","4040580","5291984","N/A","N/A","N/A","139","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"若無你我欲去佗位","2025-07-10","N/A","Pop","N/A","N/A","黃奇斌","N/A","N/A","N/A","N/A","18890","N/A","N/A","N/A","N/A","28421890.665","N/A","N/A","N/A","12531739","13244053","N/A","N/A","N/A","18233788","23922453","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bizni sevgimiz boshqacha","2025-08-28","N/A","Pop","N/A","N/A","Yulduz Turdiyeva","N/A","N/A","N/A","N/A","20227","N/A","N/A","N/A","N/A","26851553.5","N/A","N/A","N/A","129089","132637","N/A","N/A","N/A","26497757","28001251","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","633","853","N/A","N/A","N/A","N/A","N/A"
"Kannukulla - From "Dude"","2025-10-15","N/A","Pop","N/A","N/A","Sai Abhyankkar, Jonita Gandhi, Adesh Krishna","N/A","N/A","N/A","N/A","20289","N/A","N/A","N/A","N/A","26787738.74","N/A","N/A","N/A","32984223","33282723","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55","N/A","N/A","N/A","N/A","10306","10477","N/A","N/A","N/A","N/A","N/A"
"Watsons CNY 2019 - Happy Beautiful Year! 过靓年,大过天!","2022-12-23","N/A","Pop","N/A","N/A","Watsons Malaysia","N/A","N/A","N/A","N/A","20485","N/A","N/A","N/A","N/A","26524421.055000003","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21608549","29130442","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cry For Me (WA WA WA)","2024-12-11","N/A","Pop","N/A","N/A","Ironmouse, shirobeats, Halacg, Bubi","N/A","N/A","N/A","N/A","23411","N/A","N/A","N/A","N/A","23595180.18","N/A","N/A","N/A","23950755","32726767","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1003128","1051660","N/A","N/A","N/A","N/A","N/A"
