"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"132","Inna","Romania","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","542","1282","6781","1666173","15768216","3342111542","57101","11568580","60147060","560","0","8330000","10654559","7713690647","33301","40498591","501","1856","1833795","92261","0","617","3514511","51416","-2397","10161993","327","1874377","192","118662","269718","113","487","8882","95","1551","2365","337","18","1162","245.050638982377","3591.856053878334"
"133","Modern Talking","Germany","Pop","Sony Music Entertainment","551","1045","6300","2312787","13537945","2639855291","117066","13177779","39787786","307","0","3970000","11749786","4816715087","47120","23396269","N/A","982","186504","9319","0","117","260484","1641","2895","1430051","503","320600","18","24749","9173","12009","229","18371","99","3066","N/A","N/A","N/A","N/A","N/A","N/A"
"134","Toto","United States","Rock","Big Indie Labels","554","292","12865","4032980","19682374","5544464318","145581","27757398","195594872","567","0","1460000","4394432","2271387740","17851","11531081","14241","N/A","N/A","N/A","N/A","459","282250","3476","N/A","N/A","1044","957659","47","13268","20455","316","92","33395","114","5905","101460","22","0","0","1.3188173660168918","12.803980755701515"
"135","Jonas Brothers","United States","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","556","378","3244","7849128","15262418","8725808447","-94394","16911486","174018670","714","0","5410000","2454818","2921633929","10155","31154178","348","3457","8379813","226998","0","-3595","7446684","26526","-3723","13368759","418","1680563","46","49326","17087","4223","187","15797","106","2734","50532","4","0","0","10.6275797540131","15.71200900503733"
"136","Mark Ronson","United Kingdom","Pop","Sony Music Entertainment, Warner Music Group, Big Indie Labels, Universal Music Group","561","295","5628","1426640","22458603","8060170684","-237500","30237089","260215135","392","0","7210000","5833961","7362527877","18365","36884280","6310","116","389747","4043","0","1182","1119287","6675","761","838134","474","743413","14","26123","23819","284","352","12288","120","3195","21300","107","28","2794","14.240202764650515","8491.45545335984"
"137","Dani e Robbi","Italy","Pop","Other Indie / Unsigned","566","260775","36","10722","2747","563738","48","3610","4","407","90000","3750000","12955797","1064102461","255424","25945031","97976","N/A","N/A","N/A","N/A","48","63758","53","N/A","N/A","6","41","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"138","Lara Campos","Mexico","Pop","N/A","568","11343","1572","183973","2120489","162937517","18722","1404195","677764","113","0","13100000","39413185","6824685742","225544","76849691","776","7485","2525680","378179","0","2083","1168586","16362","4172","609607","6","1181","N/A","N/A","N/A","0","88845","108","2","4","N/A","N/A","N/A","N/A","N/A","N/A"
"139","Gwen Stefani","United States","Pop","Universal Music Group, BMG","582","366","12128","7304765","21043761","6076379108","435954","24761439","159044986","1047","0","2450000","3182160","2578589932","18178","19754022","1072","2103","3596420","49136","0","-3574","17732412","19758","0","10082261","632","1221663","45","29624","31142","7744","371","11257","107","2644","97018","24","8","336","1.66933831210943","1129.7079872434756"
"140","Frank Sinatra","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","589","338","18001","8816294","23677805","13417852791","64763","18083489","103659221","1393","0","2910000","1385092","758424447","10771","8121019","N/A","718","952530","20306","0","2326","1392709","36884","0","5469889","1110","2458815","198","153758","62850","563","163","19143","96","2285","73278","157","0","0","4.092174943633442","81.8434988726688"
"141","DEAN LEWIS","Australia","Pop","Sony Music Entertainment, Universal Music Group","595","520","9373","4404138","15258956","7099974232","-135546","15557298","128451228","944","0","2840000","3381644","2074839808","28432","29658113","389","14008","8288200","651410","0","27","2718347","56223","64893","6491679","555","408753","107","74136","59145","1802","936","5311","83","1246","51958","8","6","189","3.34769140312123","283.7701858651769"
"142","NMIXX","South Korea","Pop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","596","2263","19078","4357173","6484667","1370699034","-140522","3762668","19576021","617","30000","4220000","6409020","1711647402","195552","71837969","340","15315","7121028","979317","0","3203","6098265","700667","575","617382","589","165254","N/A","N/A","N/A","627","9554","657","21","59","N/A","N/A","N/A","N/A","N/A","N/A"
"143","Yuridia","Mexico","Pop","Sony Music Entertainment, Big Indie Labels","605","1194","11096","6051468","11842555","4393000212","-107738","8486829","44301094","255","0","4300000","11455567","7051241560","19937","17916246","1348","5183","4170627","120165","0","0","1489741","0","-139","3180088","225","584444","N/A","N/A","N/A","183","1682","3802","28","483","N/A","N/A","N/A","N/A","N/A","N/A"
"144","Dove Cameron","United States","Pop","Sony Music Entertainment, Universal Music Group","613","1024","4190","5627085","10371381","3644777180","-161090","9149769","77043899","3352","0","2580000","707636","261441063","7400","7138872","N/A","1893","14799647","103090","0","14466","47924155","78301","-3229","5888728","474","666632","57","59446","50238","30","2701","1800","63","495","101638","2","1","92","0.8469110789037704","8.3450220662092"
"145","Niall Horan","Ireland","Pop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","614","553","3845","10290326","14012683","8057808827","95077","14175503","184546952","1992","0","4680000","1049433","1276639937","7976","25734846","374","-315","6390491","175765","0","-3605","33516727","150503","-1787","9162414","391","1019747","54","70287","23502","18","765","10663","97","1757","107786","10","1","7","1.017274421632451","90.50944725295113"
"146","Diamond Platnumz","Tanzania","Pop","Warner Music Group, Big Indie Labels, Universal Music Group, BMG, Sony Music Entertainment","623","7652","10253","1729615","2732107","600557207","90843","1691286","6769830","331","0","11200000","26546529","4990696475","191660","29785657","321","102779","10448531","2178257","0","28241","19051162","65845","13473","7722975","123","178699","3","10582","1257","6109","17010","400","94","114","77976","12","1","9","3.4618812849621245","18.246229785595972"
"147","Tom Odell","United Kingdom","Pop","Sony Music Entertainment, Universal Music Group","628","222","9770","4548141","21102574","6846803369","-305675","29001513","296112341","992","0","2660000","3813621","2939215983","22808","25093695","1042","-2604","2988154","142281","0","-2555","1820607","12335","-575","932346","713","766611","63","798885","63331","36097","1007","5359","87","1476","3326","29","2","184","13.996424744103493","1007.5033158296618"
"148","MØ","Denmark","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","642","714","869","1479308","11482824","7175254976","-166699","11296366","86159244","1024","0","1170000","3977961","6406875171","12370","35074817","15118","666","145613","9915","0","26","500832","136","-547","1120348","122","368702","-62","4870392","7532","25815","5243","1115","47","243","49945","65","11","243","9.228727299116787","334.75868520250356"
"149","Carly Rae Jepsen","Canada","Pop","Sony Music Entertainment, Big Indie Labels","646","470","7504","5283824","11815197","5214967167","237132","19876471","131604055","629","0","4340000","3344889","3376604005","15074","22119180","1926","65","554630","529","0","-462","2639346","1491","0","10067817","391","2499748","33","16459","16284","35","641","8746","112","2449","66324","69","4","32","5.517106113517124","91.82644519809593"
"150","Aitana","Spain","Pop","Universal Music Group, Warner Music Group","649","801","12308","3812974","24318158","5733760788","343663","14055178","104663141","670","10000","2590000","3964308","2249134488","12706","18660008","1630","12915","3257133","469026","0","1536","4538867","8231","-26","239189","284","342652","N/A","N/A","N/A","24370","1298","5158","50","485","38188","N/A","N/A","N/A","N/A","N/A"
