"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"116","Lewis Capaldi","United Kingdom","Pop","Universal Music Group, Big Indie Labels","255","130","14547","14454248","25512546","13734283345","7695","26084346","224412772","329","10000","8100000","8581054","5127359269","37079","51277358","902","-2489","8732501","10219","0","-1525","7814089","15689","4517","2753172","1232","1172388","149","202400","89092","17447","101","25845","125","3569","59426","N/A","N/A","N/A","N/A","N/A"
"117","aespa (에스파)","South Korea","Pop","Warner Music Group, Big Indie Labels, Universal Music Group","256","654","46351","10736125","21181826","5175901255","-52217","9747854","34851910","674","0","8260000","4622441","4514976165","79610","170249365","90","15050","16736933","593067","0","3579","16312950","114603","-830","2270829","1389","431751","N/A","N/A","N/A","440","3842","1228","41","154","82414","5","0","0","2.8952951686210673","5.082334910209978"
"118","IVE (아이브)","South Korea","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","259","1009","38989","6996348","18147953","3410523897","-119502","7530562","25364251","696","0","4810000","1735687","3199280022","5935","110872604","66","83155","11624535","4649930","0","16015","6793349","250001","-17","940445","1084","250024","N/A","N/A","N/A","3158","3422","1615","58","263","N/A","N/A","N/A","N/A","N/A","N/A"
"119","Maria Becerra","Argentina","Pop","Warner Music Group, Sony Music Entertainment, Universal Music Group, Big Indie Labels","261","460","26774","8789007","28073934","10139757356","324349","18311595","161086850","210","0","6120000","23851723","9859589157","61147","61591376","185","53602","14060304","1579544","0","140030","15224759","359109","14975","2787399","386","374398","45","16707","15341","9613","1177","5476","49","588","62446","3","0","0","6.38644180615603","8.735754396633684"
"120","Little Mix","United Kingdom","Pop","Sony Music Entertainment, Warner Music Group","263","414","3800","12359314","13053818","10918541436","-245131","16356619","95062453","169","0","16500000","5220709","8654836325","18374","83896736","938","-603","3226552","1504","0","-9008","16515721","157","-2727","8926878","858","3733251","-39","5927224","14120","3255","475","10776","111","1659","7259","30","7","283","11.88557206669414","1770.215240839988"
"121","Guru Randhawa","India","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","264","559","33095","22749610","17245903","2719668442","108601","15314573","23058719","135","0","5970000","24646542","14470936148","107229","107564378","427","-101","7826692","8787","0","-26561","36134675","404459","-2812","6494478","21","6612","N/A","N/A","N/A","35","9286","528","17","51","70585","3","0","0","4.660703378675969","7.193677275742289"
"122","TOMORROW X TOGETHER","South Korea","Pop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","265","922","29886","12644505","18412524","7073249027","70936","6440127","25136766","353","0","13300000","15348728","4510477447","752912","331197154","85","57266","28342365","7847259","0","34221","18202883","1601497","-1731","4146473","1068","912655","-32","224132","7179","2287","150124","5","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"123","Christina Aguilera","United States","Pop","Sony Music Entertainment, Universal Music Group","269","212","17018","9594195","28149276","10963149920","-79162","31303306","289786296","260","0","6240000","8839716","9312989331","33479","51035416","297","-76","5062855","11317","0","2574","10448606","18514","-8341","25180187","1188","3885670","39","101174","16985","8361","209","18411","118","4250","103236","45","2","35","1.2071166424689639","60.32187384245386"
"124","Udit Narayan","India","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","274","270","69430","23431411","64037334","9210652681","547232","34967951","37870901","117","10000","3680000","36035253","17870433687","137527","76747308","5016","N/A","N/A","N/A","N/A","2838","917055","5130","-1405","5885705","44","65898","N/A","N/A","N/A","1595","3132","2197","30","137","144728","10","0","0","0.1511008173443949","3.022016346887898"
"125","James Arthur","United Kingdom","Pop","Sony Music Entertainment, Universal Music Group, BMG, Big Indie Labels","276","106","16084","21401626","29895056","15783086589","-193025","30022800","222912527","386","0","7810000","7525920","6573607533","24612","52852671","1666","7740","3392709","344300","0","-890","2908729","6497","-1245","2760054","1092","1514591","117","110839","38983","7528","488","10483","101","2205","2674","51","8","499","24.028638243696363","2733.2557182055425"
