"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"ما بلاش","2017-03-09","N/A","Pop","N/A","N/A","Mohamed Hamaki","N/A","N/A","N/A","N/A","16496","N/A","N/A","N/A","N/A","31981683.599999994","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36600485","301901007","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ala Hesb Wedad على حسب وداد محمد عساف يغني عبد الحليم حافظ (feat. Abdel Halim Hafez)","2013-06-09","N/A","Classical","N/A","N/A","Mohammed Assaf, Abdel Halim Hafez","N/A","N/A","N/A","N/A","16563","N/A","N/A","N/A","N/A","31872501.000000007","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37996706","486062926","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arıyorum","2021-09-17","N/A","Pop","N/A","N/A","Edis","N/A","N/A","N/A","N/A","16724","N/A","N/A","N/A","N/A","31579950.06","N/A","N/A","N/A","15236528","161575339","N/A","N/A","N/A","23272983","280963546","N/A","N/A","N/A","5897","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1389","578064"
"One Day - Radio Edit","2014-01-24","N/A","Pop","N/A","N/A","Arash","N/A","N/A","N/A","N/A","16753","N/A","N/A","N/A","N/A","31525967.039999995","N/A","N/A","N/A","14220099","40472212","N/A","N/A","N/A","23232077","297696234","N/A","N/A","N/A","4019","N/A","N/A","N/A","N/A","2366","4371","N/A","N/A","N/A","6952","1126684"
"Cevapsız Çınlama","2016-08-26","N/A","Pop","N/A","N/A","Emrah Karaduman, Aleyna Tilki","N/A","N/A","N/A","N/A","16782","N/A","N/A","N/A","N/A","31459799.020000003","N/A","N/A","N/A","12549513","45143882","N/A","N/A","N/A","26789135","616221355","N/A","N/A","N/A","3247","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30866","652370"
"Uzaktan","2012-01-09","N/A","Pop","N/A","N/A","Göksel","N/A","N/A","N/A","N/A","16806","N/A","N/A","N/A","N/A","31435293.985000007","N/A","N/A","N/A","36791055","133822148","N/A","N/A","N/A","4903818","33267296","N/A","N/A","N/A","2800","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","707","140395"
"Jiya Dhadak Dhadak Jaye - From "Kalyug"","2024-06-14","N/A","Pop","N/A","N/A","Rahat Fateh Ali Khan, Faisal Rafi, Rohail Hyatt","N/A","N/A","N/A","N/A","16966","N/A","N/A","N/A","N/A","31194251.28","N/A","N/A","N/A","41203295","106728600","N/A","N/A","N/A","0","49405015","N/A","N/A","N/A","595","N/A","N/A","N/A","N/A","360","470","N/A","N/A","N/A","13","50483"
"Ana Lamma Bheb","2020-05-16","N/A","Pop","N/A","N/A","Amjad Jomaa","N/A","N/A","N/A","N/A","17101","N/A","N/A","N/A","N/A","30984273.27","N/A","N/A","N/A","4743674","18320553","N/A","N/A","N/A","32770844","488919576","N/A","N/A","N/A","501","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","297","337135"
"Derine","2014-06-24","N/A","Pop","N/A","N/A","Murat Dalkılıç","N/A","N/A","N/A","N/A","17168","N/A","N/A","N/A","N/A","30858448.980000008","N/A","N/A","N/A","35565791","64632117","N/A","N/A","N/A","3495823","41033771","N/A","N/A","N/A","2083","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","551","109621"
"Salla","2010-10-22","N/A","Pop","N/A","N/A","Atiye","N/A","N/A","N/A","N/A","17390","N/A","N/A","N/A","N/A","30515372.755000003","N/A","N/A","N/A","27322004","79029993","N/A","N/A","N/A","13648191","64168086","N/A","N/A","N/A","42","N/A","N/A","N/A","N/A","978","2240","N/A","N/A","N/A","4583","123302"
"Mod","2019-11-12","N/A","Pop","N/A","N/A","Mustafa Sandal, Zeynep Bastık","N/A","N/A","N/A","N/A","17437","N/A","N/A","N/A","N/A","30450853.09","N/A","N/A","N/A","5886772","57272523","N/A","N/A","N/A","30448762","302505458","N/A","N/A","N/A","4434","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1902","688577"
"Uzun Lafın Kısası","2016-01-28","N/A","Pop","N/A","N/A","Ozan Doğulu, Bahadır Tatlıöz, Gülden","N/A","N/A","N/A","N/A","17452","N/A","N/A","N/A","N/A","30429726.31","N/A","N/A","N/A","25503528","90128627","N/A","N/A","N/A","13171892","82091528","N/A","N/A","N/A","3547","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6253","520811"
"Teri Khair Mangdi","2016-08-04","N/A","Pop","N/A","N/A","Bilal Saeed","N/A","N/A","N/A","N/A","17487","N/A","N/A","N/A","N/A","30375889.05","N/A","N/A","N/A","16029798","82317491","N/A","N/A","N/A","21731062","219803781","N/A","N/A","N/A","1533","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","911","245850"
"Səbr Elə","2024-06-09","N/A","Pop","N/A","N/A","Talib Tale","N/A","N/A","N/A","N/A","17526","N/A","N/A","N/A","N/A","30323721.315000005","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36187250","284439091","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6","1688"
"بأمارة مين","2022-06-21","N/A","Pop","N/A","N/A","Farid (فريد)","N/A","N/A","N/A","N/A","17883","N/A","N/A","N/A","N/A","29759271.655","N/A","N/A","N/A","4263393","29805183","N/A","N/A","N/A","32313387","214197437","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ana 3liha nma3ni","2025-08-28","N/A","Pop","N/A","N/A","Abdou Gambetta","N/A","N/A","N/A","N/A","17960","N/A","N/A","N/A","N/A","29647760.794999998","N/A","N/A","N/A","2400781","2412106","N/A","N/A","N/A","27754108","29024462","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Yalan","1997-07-09","N/A","Pop","N/A","N/A","Candan Erçetin","N/A","N/A","N/A","N/A","17970","N/A","N/A","N/A","N/A","29633607.424999997","N/A","N/A","N/A","4890762","36589539","N/A","N/A","N/A","28685074","128277795","N/A","N/A","N/A","1714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ben Bilmem","2005-04-13","N/A","Pop","N/A","N/A","Yalın","N/A","N/A","N/A","N/A","18085","N/A","N/A","N/A","N/A","29488583.22","N/A","N/A","N/A","29276269","73106120","N/A","N/A","N/A","7633569","31749649","N/A","N/A","N/A","1221","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","402","150929"
"سبب فرحتي","2024-02-14","N/A","Pop","N/A","N/A","Assala, Ahmed Saad","N/A","N/A","N/A","N/A","18087","N/A","N/A","N/A","N/A","29481679.295","N/A","N/A","N/A","2317112","10958581","N/A","N/A","N/A","36500478","168475673","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","431","65508"
"השיר שאת אהבת","2025-06-10","N/A","Pop","N/A","N/A","Omer Adam","N/A","N/A","N/A","N/A","18099","N/A","N/A","N/A","N/A","29461266.115000002","N/A","N/A","N/A","16604111","16956367","N/A","N/A","N/A","16868644","17482732","N/A","N/A","N/A","130","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sen Aglama","1984-09-06","N/A","Pop","N/A","N/A","Sezen Aksu","N/A","N/A","N/A","N/A","18313","N/A","N/A","N/A","N/A","29167082.579999994","N/A","N/A","N/A","4693160","45023076","N/A","N/A","N/A","26896086","55670810","N/A","N/A","N/A","834","N/A","N/A","N/A","N/A","18586","133996","N/A","N/A","N/A","N/A","N/A"
"Tükeneceğiz","1984-09-06","N/A","Pop","N/A","N/A","Sezen Aksu","N/A","N/A","N/A","N/A","18354","N/A","N/A","N/A","N/A","29110668.549999997","N/A","N/A","N/A","16088712","125016427","N/A","N/A","N/A","20626730","131322569","N/A","N/A","N/A","3374","N/A","N/A","N/A","N/A","2225","2230","N/A","N/A","N/A","N/A","N/A"
"Law Bass Fe Eyne","2006-01-30","N/A","Pop","N/A","N/A","Cyrine Abdel Nour","N/A","N/A","N/A","N/A","18387","N/A","N/A","N/A","N/A","29068753.685000002","N/A","N/A","N/A","1028465","5769800","N/A","N/A","N/A","33948894","238646784","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1209","884167"
"Sevdanın Rengi","2004-01-01","N/A","Pop","N/A","N/A","Özcan Deniz","N/A","N/A","N/A","N/A","18570","N/A","N/A","N/A","N/A","28824705.475","N/A","N/A","N/A","15504862","40063278","N/A","N/A","N/A","19479900","75415533","N/A","N/A","N/A","1021","N/A","N/A","N/A","N/A","57446","247097","N/A","N/A","N/A","652","149640"
"Temptation - feat. Rebecca","2005-02-01","N/A","Pop","N/A","N/A","Arash","N/A","N/A","N/A","N/A","18576","N/A","N/A","N/A","N/A","28816835.560000002","N/A","N/A","N/A","5964737","28622434","N/A","N/A","N/A","22769782","167172882","N/A","N/A","N/A","11","N/A","N/A","N/A","N/A","3087","14933","N/A","N/A","N/A","4887","279510"
"Firuze","1982-01-01","N/A","Pop","N/A","N/A","Sezen Aksu","N/A","N/A","N/A","N/A","18609","N/A","N/A","N/A","N/A","28767564.655","N/A","N/A","N/A","8463998","100293647","N/A","N/A","N/A","24852728","116537844","N/A","N/A","N/A","3541","N/A","N/A","N/A","N/A","327","417","N/A","N/A","N/A","N/A","N/A"
"Kadabeen","2021-09-14","N/A","Pop","N/A","N/A","Sherine","N/A","N/A","N/A","N/A","18628","N/A","N/A","N/A","N/A","28741097.490000006","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","32525714","290133288","N/A","N/A","N/A","1495","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Eteği Belinde","2017-04-27","N/A","Pop","N/A","N/A","Manuş Baba","N/A","N/A","N/A","N/A","18649","N/A","N/A","N/A","N/A","28713200.6","N/A","N/A","N/A","15674179","81944909","N/A","N/A","N/A","19771536","362224001","N/A","N/A","N/A","2847","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","490715"
"Olmazsa Olmazımsın","2015-02-02","N/A","Pop","N/A","N/A","Behzat Gerçeker, Enbe Orkestrası, İlyas Yalçıntaş, Busra Periz","N/A","N/A","N/A","N/A","18656","N/A","N/A","N/A","N/A","28707410.165000003","N/A","N/A","N/A","2711112","13391982","N/A","N/A","N/A","31884441","233154911","N/A","N/A","N/A","1184","N/A","N/A","N/A","N/A","9620","122126","N/A","N/A","N/A","668","394070"
"Hepsi Aşktan","2016-09-08","N/A","Pop","N/A","N/A","Mustafa Sandal","N/A","N/A","N/A","N/A","18672","N/A","N/A","N/A","N/A","28687957.224999994","N/A","N/A","N/A","14251313","28846448","N/A","N/A","N/A","20394345","72683173","N/A","N/A","N/A","940","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","457","186569"
"Ma Tegi Hena","2014-01-01","N/A","Pop","N/A","N/A","Nancy Ajram","N/A","N/A","N/A","N/A","18892","N/A","N/A","N/A","N/A","28420740.67","N/A","N/A","N/A","8629710","28289545","N/A","N/A","N/A","24574208","196793154","N/A","N/A","N/A","201","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","657","219229"
"كامل ايهاب - خساره فيكي","2022-01-02","N/A","Pop","N/A","N/A","Kamel Ehab (كامل إيهاب)","N/A","N/A","N/A","N/A","18933","N/A","N/A","N/A","N/A","28381219.075000007","N/A","N/A","N/A","264943","938908","N/A","N/A","N/A","28478063","57864361","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6916","254142","N/A","N/A","N/A","50","26832"
"7obk Rezk","2025-01-15","N/A","Pop","N/A","N/A","Tamer Ashour","N/A","N/A","N/A","N/A","18959","N/A","N/A","N/A","N/A","28356984.1","N/A","N/A","N/A","4495158","5763028","N/A","N/A","N/A","29555275","35972060","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1271","16510"
"Nasini El Donya","2004-01-01","N/A","Pop","N/A","N/A","Ragheb Alama","N/A","N/A","N/A","N/A","19002","N/A","N/A","N/A","N/A","28293024.07","N/A","N/A","N/A","12660746","53664841","N/A","N/A","N/A","21922471","134552403","N/A","N/A","N/A","333","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12710","2462190"
"نور الدين الطيار - مافي شئ","2023-05-04","N/A","Pop","N/A","N/A","Ferhat Yayla Official, Xoureldin","N/A","N/A","N/A","N/A","19042","N/A","N/A","N/A","N/A","28251446.355000008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","33496799","288058346","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13202","220091","N/A","N/A","N/A","N/A","N/A"
