"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"The Dead Dance","2025-09-01","N/A","Pop","N/A","N/A","Lady Gaga","N/A","N/A","N/A","N/A","144","N/A","N/A","N/A","N/A","523682652.45","N/A","N/A","N/A","172744763","176593837","N/A","N/A","N/A","182189651","191961187","N/A","N/A","N/A","705345","N/A","N/A","N/A","N/A","302906","518779","N/A","N/A","N/A","N/A","N/A"
"Gangnam Style (강남스타일)","2012-01-01","N/A","Pop","N/A","N/A","PSY","N/A","N/A","N/A","N/A","146","N/A","N/A","N/A","N/A","523072910.78","N/A","N/A","N/A","97374162","642463976","N/A","N/A","N/A","447322264","7578814003","N/A","N/A","N/A","99601","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9082","8406846"
"Somebody That I Used To Know","2011-01-01","N/A","Pop","N/A","N/A","Gotye, Kimbra","N/A","N/A","N/A","N/A","151","N/A","N/A","N/A","N/A","518098730.12","N/A","N/A","N/A","351678342","2388740504","N/A","N/A","N/A","217433928","3063046841","N/A","N/A","N/A","297688","N/A","N/A","N/A","N/A","2687736","20699816","N/A","N/A","N/A","N/A","N/A"
"Please Please Please","2024-06-06","N/A","Pop","N/A","N/A","Sabrina Carpenter","N/A","N/A","N/A","N/A","154","N/A","N/A","N/A","N/A","513417879.8299999","N/A","N/A","N/A","459987380","1800285350","N/A","N/A","N/A","116442992","411560758","N/A","N/A","N/A","268955","N/A","N/A","N/A","N/A","1126490","4433678","N/A","N/A","N/A","51255","2407426"
"Your Idol","2025-06-20","N/A","Pop","N/A","N/A","Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee","N/A","N/A","N/A","N/A","157","N/A","N/A","N/A","N/A","510295415.96000004","N/A","N/A","N/A","681882139","683373162","N/A","N/A","N/A","77082554","80918717","N/A","N/A","N/A","33344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Treat You Better","2017-04-20","N/A","Pop","N/A","N/A","Shawn Mendes","N/A","N/A","N/A","N/A","161","N/A","N/A","N/A","N/A","501993096.59000003","N/A","N/A","N/A","339812206","2789856471","N/A","N/A","N/A","246386666","3285212438","N/A","N/A","N/A","257859","N/A","N/A","N/A","N/A","219201","1973389","N/A","N/A","N/A","6877","10409982"
"Gnarly","2025-04-30","N/A","Pop","N/A","N/A","KATSEYE","N/A","N/A","N/A","N/A","162","N/A","N/A","N/A","N/A","501661402.18","N/A","N/A","N/A","463583347","470791497","N/A","N/A","N/A","300913554","475486465","N/A","N/A","N/A","10838","N/A","N/A","N/A","N/A","2371252","2388991","N/A","N/A","N/A","N/A","N/A"
"There's Nothing Holdin' Me Back","2017-04-20","N/A","Pop","N/A","N/A","Shawn Mendes","N/A","N/A","N/A","N/A","163","N/A","N/A","N/A","N/A","499999217.81500006","N/A","N/A","N/A","376617763","2737563510","N/A","N/A","N/A","252002246","2338801158","N/A","N/A","N/A","318063","N/A","N/A","N/A","N/A","215402","1787469","N/A","N/A","N/A","18598","15969293"
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","2011-06-08","N/A","Pop","N/A","N/A","Pitbull, Ne-Yo, Afrojack, Nayer","N/A","N/A","N/A","N/A","164","N/A","N/A","N/A","N/A","497458623.7550001","N/A","N/A","N/A","462294325","2006416891","N/A","N/A","N/A","106729075","1592272577","N/A","N/A","N/A","192089","N/A","N/A","N/A","N/A","792531","12967764","N/A","N/A","N/A","N/A","N/A"
"Despacito - Remix","2017-04-17","N/A","Pop","N/A","N/A","Luis Fonsi, Daddy Yankee, Justin Bieber","N/A","N/A","N/A","N/A","166","N/A","N/A","N/A","N/A","497155700.43999994","N/A","N/A","N/A","89477152","1875093817","N/A","N/A","N/A","388317978","12806445579","N/A","N/A","N/A","329753","N/A","N/A","N/A","N/A","517729","60473210","N/A","N/A","N/A","19683","8042336"
