"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"VAGABUNDO","2023-05-12","N/A","Latin","N/A","N/A","Sebastian Yatra, Manuel Turizo, Beéle","N/A","N/A","N/A","N/A","2109","N/A","N/A","N/A","N/A","153746314.085","N/A","N/A","N/A","118214573","614478725","N/A","N/A","N/A","72327655","373822963","N/A","N/A","N/A","65735","N/A","N/A","N/A","N/A","18997","62329","N/A","N/A","N/A","26692","1702364"
"Pareja Del Año","2021-04-16","N/A","Latin","N/A","N/A","Sebastian Yatra, Myke Towers","N/A","N/A","N/A","N/A","2118","N/A","N/A","N/A","N/A","153415206.97","N/A","N/A","N/A","104181177","1016267055","N/A","N/A","N/A","94947897","979307246","N/A","N/A","N/A","50507","N/A","N/A","N/A","N/A","185448","4301346","N/A","N/A","N/A","N/A","N/A"
"Vaitimbora","2025-05-02","N/A","Electronic","N/A","N/A","Trinix, Mariana Froes","N/A","N/A","N/A","N/A","2120","N/A","N/A","N/A","N/A","153253916.59","N/A","N/A","N/A","124941525","131415256","N/A","N/A","N/A","44609880","44803069","N/A","N/A","N/A","73020","N/A","N/A","N/A","N/A","89400","92902","N/A","N/A","N/A","N/A","N/A"
"Traicionera","2016-06-24","N/A","Pop","N/A","N/A","Sebastian Yatra","N/A","N/A","N/A","N/A","2123","N/A","N/A","N/A","N/A","152910311.03","N/A","N/A","N/A","136683984","780264993","N/A","N/A","N/A","69527807","1021962976","N/A","N/A","N/A","41913","N/A","N/A","N/A","N/A","19241","245197","N/A","N/A","N/A","N/A","N/A"
"Dueles","2015-12-04","N/A","Pop","N/A","N/A","Jesse & Joy, Jesse, Joy Huerta","N/A","N/A","N/A","N/A","2158","N/A","N/A","N/A","N/A","151074222.74","N/A","N/A","N/A","145265936","717617621","N/A","N/A","N/A","112151074","1390881479","N/A","N/A","N/A","27850","N/A","N/A","N/A","N/A","60563","272654","N/A","N/A","N/A","4174","2158554"
"Ya Me Enteré","2016-06-17","N/A","Pop","N/A","N/A","Reik","N/A","N/A","N/A","N/A","2179","N/A","N/A","N/A","N/A","150203976.15999997","N/A","N/A","N/A","93761340","681860902","N/A","N/A","N/A","87012654","1567665193","N/A","N/A","N/A","38451","N/A","N/A","N/A","N/A","7279","195167","N/A","N/A","N/A","1661","1652596"
"Colgando en tus manos (con Marta Sánchez)","2008-11-18","N/A","Pop","N/A","N/A","Carlos Baute, Marta Sanchez, Marta Sánchez","N/A","N/A","N/A","N/A","2216","N/A","N/A","N/A","N/A","148374808.08499998","N/A","N/A","N/A","32402939","754080736","N/A","N/A","N/A","161519845","1432298053","N/A","N/A","N/A","78290","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fuiste Tú (feat. Gaby Moreno)","2011-01-01","N/A","Pop","N/A","N/A","Ricardo Arjona, Gaby Moreno","N/A","N/A","N/A","N/A","2228","N/A","N/A","N/A","N/A","147518730.5","N/A","N/A","N/A","65813024","578761286","N/A","N/A","N/A","114416853","1705158815","N/A","N/A","N/A","9507","N/A","N/A","N/A","N/A","61416","116939","N/A","N/A","N/A","13818","1676840"
"RAMEN PARA DOS","2025-05-08","N/A","Pop","N/A","N/A","Maria Becerra, Paulo Londra, XROSS","N/A","N/A","N/A","N/A","2281","N/A","N/A","N/A","N/A","144880689.235","N/A","N/A","N/A","87422775","89517804","N/A","N/A","N/A","84336349","88645768","N/A","N/A","N/A","14900","N/A","N/A","N/A","N/A","37797","38791","N/A","N/A","N/A","N/A","N/A"
"Qué Agonía","2022-10-20","N/A","Pop","N/A","N/A","Yuridia, Angela Aguilar","N/A","N/A","N/A","N/A","2290","N/A","N/A","N/A","N/A","144591235.26000002","N/A","N/A","N/A","60448740","571845352","N/A","N/A","N/A","114337921","1198444911","N/A","N/A","N/A","34373","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10430","1592434"
