"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"388","Dixie","United States","Pop","Sony Music Entertainment, Warner Music Group","2069","12599","856420","341070023","186241","5793835","4254","6410000","672043886","31250296","584","54138791","19274603","1063120","29011","24554","18847","61422","N/A","N/A","N/A","N/A"
"389","Zack Tabudlo","Philippines","Pop","Universal Music Group","2085","1825","4806163","2031813174","4773171","16390424","1492","2330000","1100093482","7954584","4531","965489","520578","1278961","15211","N/A","5923","115890","2","0","0","1.181714028551557"
"390","Black Gryph0n","United States","Pop","Big Indie Labels","2086","4225","539755","1001112195","3528771","4833439","1347","5550000","1083433130","23754108","20940","93500","87784","33257","19786","6633","35719","N/A","N/A","N/A","N/A","N/A"
"391","XANSANA","Poland","Pop","Other Indie / Unsigned","2088","299953","11167","897448","914","3231","455","1400000","1158743278","16475143","10449","358215","N/A","343263","28","1","226010","N/A","N/A","N/A","N/A","N/A"
"392","Siti Nurhaliza","Malaysia","Pop","Universal Music Group, Big Indie Labels","2095","5328","1957823","563859225","3653389","2514173","3026","1210000","1102688045","6357189","1165","3238735","9247384","3567850","15614","N/A","4621","N/A","N/A","N/A","N/A","N/A"
"393","Kendji Girac","France","Pop","Universal Music Group, Sony Music Entertainment","2103","4661","2301364","1150175752","2340718","7221851","1715","4160000","3202593592","14810287","4312","852181","2687618","1905618","2001582","1382","1658","157833","1","0","0","1.1147109478004347"
"394","Noodle & Pals","Canada","Pop","Warner Music Group","2107","8482","21518","348520611","1244702","767608","497","2370000","2883282327","2581499","65859","N/A","9375","N/A","2426","N/A","174967","N/A","N/A","N/A","N/A","N/A"
"395","AYLIVA","Germany","Pop","Warner Music Group, Universal Music Group, Big Indie Labels","2110","2855","2448239","2343233021","3282850","11187844","4943","875000","434264130","3678154","5314","2144336","953468","N/A","270717","16245","2889","N/A","N/A","N/A","N/A","N/A"
"396","Zeynep Bastık","Turkey","Pop","Big Indie Labels","2111","3101","2510102","1427909421","3641920","10050711","1378","3020000","3433154857","16411081","6865","439296","2178745","366375","665337","N/A","5552","69706","N/A","N/A","N/A","N/A"
"397","Emin","Russian Federation","Pop","Other Indie / Unsigned","2121","6173","342461","340405513","2749021","1052722","1082","2050000","1538207628","11295998","2573","824679","3154226","808205","33287","1154","15385","N/A","N/A","N/A","N/A","N/A"
"398","Zaho","Canada","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","2127","6793","872053","535700910","2451359","9627590","2651","1800000","1022880317","5795674","1399","2639029","781588","5804347","1047897","N/A","9174","105699","10","0","0","10.320187313526795"
"399","Zouhair Bahaoui","Morocco","Pop","Universal Music Group, Big Indie Labels","2130","13114","1160648","244765223","588604","1600649","1336","8020000","2674489734","19925908","942","1284349","10443091","3853479","214623","725","15361","N/A","N/A","N/A","N/A","N/A"
"400","Loreen","Sweden","Pop","Universal Music Group, Warner Music Group, Big Indie Labels","2135","1598","1228781","1578199554","8271259","64499706","3227","896000","769392827","6051947","4468","1401125","969012","350736","145632","4949","1094","46949","35","1","12","29.119250680644292"
"401","Naughty Boy","United Kingdom","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","2138","1893","456016","1699056885","6877470","33436069","1114","2410000","2213663682","14072352","28618","N/A","164759","353834","275510","5620144","1919","93080","32","1","1","37.778374294868335"
