"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"64","Greeicy","Colombia","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","591","1395","5631","7766641","7806403","3245486318","33006","6795575","40006320","320","0","5960000","5657821","5711849698","14506","29108915","444","41779","13057231","1202856","0","40510","23661550","630121","19475","3731836","163","833619","N/A","N/A","N/A","1358","1642","4016","40","511","109509","N/A","N/A","N/A","N/A","N/A"
"65","Yuridia","Mexico","Pop","Sony Music Entertainment, Big Indie Labels","605","1194","11096","6051468","11842555","4393000212","-107738","8486829","44301094","255","0","4300000","11455567","7051241560","19937","17916246","1348","5183","4170627","120165","0","0","1489741","0","-139","3180088","225","584444","N/A","N/A","N/A","183","1682","3802","28","483","N/A","N/A","N/A","N/A","N/A","N/A"
"66","Selena","United States","Pop","Universal Music Group, Warner Music Group","608","979","8766","4566735","10815167","3316038070","112017","10542310","38836453","376","0","5020000","6252281","3901693241","21694","18339791","N/A","11754","1807720","71168","0","4253","2212641","66076","0","5825343","208","601232","N/A","N/A","N/A","3166","654","8591","67","1291","76305","16","0","0","3.750537592330117","9.892862938488326"
"67","Kany Garcia","Puerto Rico","Pop","Sony Music Entertainment","612","1064","9895","3958816","13255364","3827965203","-175685","11161324","67652305","253","10000","3540000","8221896","3753524112","31684","17289054","801","28317","4017649","579694","0","4774","2984067","68745","17477","3262850","268","367839","3","3411","240","869","2237","3283","31","493","N/A","N/A","N/A","N/A","N/A","N/A"
"68","Jesús Adrián Romero","Mexico","Religious","Big Indie Labels","631","1705","13301","6051767","19769896","4587337365","181607","5022272","5809393","636","10000","7290000","10682596","6438876991","37185","24213242","1152","54627","2158475","1158680","0","16167","1360509","17482","-1821","12346292","187","1306034","N/A","N/A","N/A","230","260","18832","32","755","N/A","N/A","N/A","N/A","N/A","N/A"
"69","Ivete Sangalo","Brazil","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","636","3017","1055","2249458","3798633","1926159899","-93429","4162032","38095670","1555","0","3220000","1632807","1647233360","6372","13629373","131","1528","3394309","67928","0","-2769","37282011","115006","-3372","14196679","639","2235619","0","14305","0","131","1557","4505","32","668","150257","1","0","0","0.10804089280205638","2.1608178560411275"
"70","Camila","Mexico","Rock","Sony Music Entertainment","659","772","8971","5422134","11345293","4113461821","-13821","11501701","52036678","527","0","4440000","6177650","4331059802","14068","16582601","2784","326","600159","4836","0","-315","1207780","455","-2067","8646875","260","1618674","N/A","N/A","N/A","580","861","7114","40","827","N/A","N/A","N/A","N/A","N/A","N/A"
"71","Julieta Venegas","Mexico","Pop","Sony Music Entertainment, Big Indie Labels","661","531","15118","3700377","19272932","5608314201","-226272","18671804","84496653","835","0","1840000","5393128","2312696657","15613","12293901","1702","185","205252","1318","0","938","1243846","8387","-469","3085036","292","579883","11","10759","1511","726","952","6833","47","1031","162894","2","0","0","0.026402046160550953","0.528040923211019"
"72","Pablo Alboran","Spain","Pop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment, BMG","662","717","6642","5689805","15547966","6338112695","-154733","13246746","72107888","693","0","6540000","8098038","6726541942","18059","29722591","1009","332","2526702","23828","0","4330","7663588","51280","-227","5616228","248","945739","14","8804","2172","257","1252","5086","40","663","N/A","N/A","N/A","N/A","N/A","N/A"
"73","Melody","Brazil","Pop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","665","1489","4050","581694","11569744","1012968959","-198010","12642533","61485902","3388","10000","4010000","289349","298093231","1591","6495420","N/A","762","3803456","63860","0","-2668","13472496","156327","-966","8255931","691","314810","N/A","N/A","N/A","17","16424","302","4","59","N/A","N/A","N/A","N/A","N/A","N/A"
"74","CNCO","United States","Latin","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","677","1031","3288","9400819","5839946","4754922707","398068","6873986","37234962","234","0","12100000","4668905","8350431675","11700","58866815","3572","-1079","2775802","3177","0","-2510","3338804","368","-2281","5406055","174","1209626","17","44730","3522","45","592","8494","72","927","59648","7","0","0","7.410216448144798","11.6004942498857"
"75","Lenny Tavárez","Puerto Rico","Hip Hop","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","691","497","8588","3759239","32873707","14024201431","-155507","20304582","120164155","441","0","3350000","11690305","9590646010","25065","52068281","1259","182539","4047963","3714937","0","-1117","6278735","39141","1992","2268892","439","1034884","31","48639","31344","7062","5024","1129","35","203","N/A","N/A","N/A","N/A","N/A","N/A"
