"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"16","Elyor Meliboyev","Russian Federation","Pop","Big Indie Labels","15241","121474","2693","50297","66286","3281269","737","16707","2434","6683","2000","370000","4521723","173279637","7073","933386","27056","N/A","N/A","N/A","N/A","52265","823459","7329","N/A","N/A","0","16","0","14","245","1190","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Yulduz Turdiyeva","Russian Federation","Pop","Big Indie Labels","15550","129088","3509","19842","142537","2086159","3998","31663","5017","5462","2000","206000","4562626","137860078","4724","345571","13547","6","5001","4","95","55407","2312527","75998","N/A","N/A","0","62","0","68","1152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18","LITTLE JOHN","Thailand","Pop","Sony Music Entertainment","15742","9851","20340","180627","10683035","126609043","-86990","1687640","1816033","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","33","79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Peenongpor 4","Thailand","Pop","Universal Music Group","16818","754891","0","56","247","38843","0","7","10","13809","8000","340000","2882176","158929035","88546","7558806","3782","1389","819297","261440","2122222","17014","120892","68059","448","263112","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Riev Wafa","Malaysia","Pop","Universal Music Group","17593","754891","0","2","2675","32210","N/A","N/A","N/A","10304","13000","125000","471907","3085287","17437","126434","67753","121","80980","1502","47440","26477","77283","38723","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","449487","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"21","ส้มโอ Stage Fighter","Thailand","Pop","N/A","19575","144849","140","3574","239453","2783113","922","64881","200","14149","2000","479000","4485431","256932916","8867","944236","15739","1391","262699","75472","156993","4","2163","135","2284","779765","0","4","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"22","Ansellma","Indonesia","Pop","Big Indie Labels","19632","162854","-30","62554","1922","3527375","28","1160","8776","85347","0","40800","1970","1446591","27","69022","1956","-5099","2099802","1283072","6549192","-26883","1514221","689032","0","3","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Caloy Quemada","Philippines","Pop","N/A","19755","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13854","3000","754000","723854","101973828","11206","3017170","10938","-1745","1351567","5580","113557","0","34187","0","0","2285101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"24","Belle Nuntita","Thailand","Pop","N/A","20101","520639","0","241","62","8865","-37","1253","3","46115","100","27400","82095","45529436","552","223429","3550","5790","780282","457291","4188485","30908","92002","93690","58051","718615","1","1329","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"25","Zwe Htet","Thailand","Pop","N/A","21737","488073","0","1258","1685","143497","-72","492","N/A","12542","3000","391000","2835212","145603108","16672","1078038","10209","-1717","1599999","27046","523392","N/A","N/A","N/A","N/A","N/A","0","1","N/A","N/A","N/A","156","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
