"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"105","Siddhartha","Mexico","Rock","Sony Music Entertainment","1658","2905","1739036","2074188753","3448868","15406704","1194","963000","896424637","5087791","2440","471925","1265714","1208120","162193","3674","14751","131910","1","0","0","0.6458321924383125"
"106","Culture Club","United Kingdom","Pop","N/A","1659","1750","1862389","1349891911","6711844","63066682","1302","970000","1285368043","6103453","13001","179631","214822","1419858","203938","5419","173","24676","138","0","0","77.1641735797134"
"107","Lali","Argentina","Pop","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","1664","4029","2205430","1489167853","2668796","20367978","1711","2120000","1237863656","12088652","559","7655000","12176614","1015222","48222","N/A","3874","N/A","N/A","N/A","N/A","N/A"
"108","Ruth B","Canada","Pop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","1668","556","4671771","4631127997","16227979","83937948","2210","2080000","1441687687","15871415","4800","785603","427057","236028","130196","35777","8924","N/A","N/A","N/A","N/A","N/A"
"109","Ed Maverick","Mexico","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","1675","1493","3929563","2913254418","6516070","20212745","1318","2580000","1576149728","13292807","10818","735905","N/A","1331302","294791","25265","28515","N/A","N/A","N/A","N/A","N/A"
"110","Lauren Spencer-Smith","Canada","Pop","Universal Music Group, Warner Music Group","1717","1909","1846390","1870166581","5217868","47974592","5742","1360000","480218975","11683635","804","8253619","2300177","2979170","22407","33493","3802","N/A","N/A","N/A","N/A","N/A"
"111","Dermot Kennedy","Ireland","Pop","Warner Music Group, Big Indie Labels","1750","1052","1736130","4592235208","10779926","118658890","2832","754000","762076547","5223243","4329","669853","1122618","381020","167349","44039","888","4771","23","10","1226","6236.727543107789"
"112","Bon Iver","United States","Pop","Other Indie / Unsigned","1763","592","4030109","7941153352","16195967","147971591","4541","672000","844718198","7098618","5004","89574","1055091","1734850","540288","157407","2840","51512","35","0","0","31.824537931995607"
"113","Sub Urban","United States","Pop","Warner Music Group","1767","1877","1948076","1954690175","5913313","23748434","1531","6360000","2145621220","35407607","6167","4175268","525165","435514","234780","78827","12567","114207","17","0","0","14.90055501526744"
"114","Max","United States","Pop","Warner Music Group, Sony Music Entertainment, Universal Music Group","1771","1566","986663","3264472884","6365080","66766217","4632","2370000","719916243","18252404","4969","1642596","928422","925254","45017","100804","5339","7849","149","17","623","2551.0842325148665"
"115","James Bay","United Kingdom","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","1774","771","4138214","5640865344","9035424","109517357","2439","2010000","1480080910","10211970","11287","284779","1179504","976307","800498","125172","1455","34954","4","1","67","128.64900901191868"
"116","Victoria Justice","United States","Pop","Universal Music Group","1784","11013","963007","959554466","523037","9324239","7688","1230000","426184508","5456122","267","5634561","24278377","17369712","989142","30140","24993","N/A","N/A","N/A","N/A","N/A"
"117","Ashnikko","United States","Hip Hop","Warner Music Group, Big Indie Labels","1787","1840","2688430","2986694290","5600594","29512645","3233","2800000","1072586255","21855959","1536","4771050","2027347","511394","349596","123361","9743","43520","17","2","8","28.29656563786646"
"118","Jósean Log","Mexico","Pop","Sony Music Entertainment, Big Indie Labels","1802","1426","1479087","1929705889","10160808","21435115","2394","1780000","983429589","7622020","31035","71307","187542","217932","103461","3542","37959","N/A","N/A","N/A","N/A","N/A"
"119","Lykke Li","Sweden","Pop","Big Indie Labels, Warner Music Group","1804","938","1998327","3750275683","15104844","112039241","3899","618000","1383786372","8403132","11506","N/A","411736","1248706","672276","401965","1481","53848","28","5","650","1062.056162638951"
"120","Beach House","United States","Pop","Big Indie Labels, Warner Music Group","1839","711","3013331","3999248778","14883756","72085976","7208","324000","498214996","6654606","13944","75428","524213","628998","282633","104650","4794","146270","7","0","0","2.7556391677855743"
"121","(Sandy) Alex G","United States","Pop","Sony Music Entertainment","1859","1063","3949270","3429414782","7931791","24066887","7897","496000","71137964","1316372","8728","532","862472","44620","118015","179114","23570","146471","2","0","0","2.6966996921543718"
"122","Paris Paloma","United Kingdom","Pop","Big Indie Labels","1867","2031","919577","949296603","7444508","49678632","3437","516000","181013002","4344351","3806","1571352","798154","N/A","34571","184","23814","N/A","N/A","N/A","N/A","N/A"
"123","Faouzia","Canada","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","1878","3648","959354","1155335918","4176542","15802736","2386","2880000","1149421720","15142377","1965","4149653","3046767","982614","110096","66516","3969","5669","12","4","73","592.2593063515967"
"124","Rizky Billar","Indonesia","Pop","Big Indie Labels","1885","102335","56894","9010556","30721","20696","4858","4360000","554499487","30950782","180","10316320","13535944","398367","55","N/A","75048","N/A","N/A","N/A","N/A","N/A"
"125","Nessa Barrett","United States","Pop","Warner Music Group","1926","1987","1792377","1998960624","6383295","39050767","7967","1340000","281143794","6796851","1059","19418183","5904228","113432","101202","62454","6361","N/A","N/A","N/A","N/A","N/A"
"126","Lexa","Brazil","Latin","Sony Music Entertainment, Warner Music Group, Big Indie Labels","1930","5468","2514772","891492735","1353531","8793750","3167","3940000","1767632721","17189142","750","6886430","20331141","3184493","1527279","N/A","19764","N/A","N/A","N/A","N/A","N/A"
"127","Two Door Cinema Club","United Kingdom","Rock","Big Indie Labels","1941","1212","2605019","3427150778","9229255","40116199","10033","683000","410053001","3486676","4166","251489","370593","1609044","601913","3170100","2464","44974","66","4","672","680.3649828203977"
"128","Phoebe Bridgers","United States","Pop","Other Indie / Unsigned","1974","768","3192829","6560142734","11786978","136650201","12466","419000","111556957","1862232","8449","751352","2674711","177097","192412","92281","11294","N/A","N/A","N/A","N/A","N/A"
"129","FUN.","United States","Pop","Big Indie Labels","1982","905","3097386","3017035239","13852861","73655493","3499","279000","1834512815","10617353","12321","N/A","N/A","3403695","919804","N/A","985","162894","2","1","4","2.664525349020601"
"130","Counting Crows","United States","Rock","BMG, Universal Music Group","1994","986","2038028","2805910340","11888089","88843652","4271","531000","659428947","3122039","5078","111397","235894","1155504","398050","14404","683","N/A","N/A","N/A","N/A","N/A"
