"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"404","We the Kingdom","United States","Religious","Universal Music Group","6720","5744","1413","345281","3227699","606123888","40783","2942385","11604879","13066","0","439000","46410","183251094","314","1878491","13739","-13","186793","410","0","-28","231801","902","555","483567","30","14138","1","3437","1633","54","2356","4141","44","298","N/A","N/A","N/A","N/A","N/A","N/A"
"405","Spin Doctors","United States","Rock","Universal Music Group","6737","3000","1861","799382","2657213","797928652","104638","4539095","60686733","15232","N/A","N/A","N/A","N/A","N/A","N/A","38018","N/A","N/A","N/A","N/A","245","45315","459","0","153338","81","50363","3","1183","5312","9","838","7241","86","2517","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"406","Cliff Richard","United Kingdom","Rock","Warner Music Group, Big Indie Labels, BMG","6744","6602","499","390693","1810055","910160707","27342","1675841","17917824","5775","1000","401000","1204471","418678472","5611","2645261","48594","N/A","N/A","N/A","N/A","8","10318","64","-49","359304","86","84030","2","1197","3230","148","330","13490","95","2758","110467","14","0","0","0.8786223126198434","17.572446252396862"
"407","Amaral","Spain","Rock","Sony Music Entertainment, Big Indie Labels, Warner Music Group","6768","5202","1493","943049","2943831","917800176","36500","2724424","14290175","10656","0","236000","594491","370844809","2214","1970058","30735","N/A","N/A","N/A","N/A","46","194117","1257","7","369882","52","55738","7","1673","593","15","2899","2313","31","380","N/A","N/A","N/A","N/A","N/A","N/A"
"408","Sumika","Japan","Pop","Sony Music Entertainment, Universal Music Group","6782","7820","1652","1095770","2331608","613901641","-431","1876180","3678480","8461","2000","746000","1465879","471397725","9915","4357670","16248","337","165895","16315","0","294","316632","17220","N/A","N/A","19","5773","N/A","N/A","N/A","49","53282","43","10","14","N/A","N/A","N/A","N/A","N/A","N/A"
"409","Lucio Battisti","Italy","Rock","Sony Music Entertainment","6783","6030","3436","1334215","4405909","851565665","-8459","2472039","4509193","31690","10","3410","70587","116384404","551","480609","N/A","N/A","N/A","N/A","N/A","75","74961","260","-5","54749","116","157769","2","285","N/A","247","1097","4287","33","606","112258","2","0","0","0.8262226353428054","1.133389921250462"
"410","Eddie Money","United States","Rock","N/A","6789","3889","1644","1025220","3633234","1041987219","1144","3908422","38420264","18432","10","1020","396040","158748200","1958","980235","N/A","N/A","N/A","N/A","N/A","-14","20575","0","-62","383113","35","16421","0","1217","5778","0","645","8879","71","1757","162894","2","0","0","0.026402046160550953","0.528040923211019"
"411","Calogero","France","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group","6790","8775","1523","912064","1774257","601385503","24192","1436327","3559482","7590","0","402000","475982","389620908","2054","1904275","31243","N/A","N/A","N/A","N/A","21","161327","64","0","680243","1539","1140532","4","2073","2949","292","2189","2971","27","364","N/A","N/A","N/A","N/A","N/A","N/A"
"412","Alice Merton","Germany","Pop","Big Indie Labels, Warner Music Group","6797","6406","660","395958","967595","734815810","-42658","1679254","11000255","8173","0","697000","586548","525985652","3862","4810244","44310","17","45655","55","0","-61","156565","374","-30","68371","77","44222","8","7747","4722","6","1124","5464","60","1134","155564","1","0","0","0.07015197030892749","1.4030394061785496"
"413","The Wallflowers","United States","Rock","Big Indie Labels, Universal Music Group","6813","4111","1547","946107","2455816","646554508","57946","3839521","25368772","9814","N/A","N/A","N/A","N/A","N/A","N/A","61156","0","5580","0","0","93","18871","40","0","221460","47","44580","4","2564","1987","182","2084","3114","59","991","N/A","N/A","N/A","N/A","N/A","N/A"
"414","Status Quo","United Kingdom","Rock","Big Indie Labels, Universal Music Group","6853","5451","810","860407","1792389","832891145","37425","2323524","19170472","10027","0","219000","430322","270721672","2354","1706806","50091","N/A","N/A","N/A","N/A","96","10068","1935","0","409127","150","157147","N/A","N/A","N/A","1355","382","12623","91","2853","109471","69","0","0","0.917531327359702","18.35062654719403"
