"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"332","From Ashes to New","United States","Metal","Big Indie Labels, Sony Music Entertainment","6685","8058","11075","653370","9606864","767398723","38163","1629403","16901170","17423","4000","293000","691910","124133673","5388","1769445","6128","5943","727670","128018","654510","9387","552205","46126","12986","828259","823","64642","142","19294","122849","8304","7103","7037","36","253","N/A","N/A","N/A","N/A","N/A","N/A"
"333","Crossfade","United States","Rock","N/A","6721","4884","13223","1128605","11217758","653568531","377633","3019409","7252556","6914","1000","322000","1521005","269588509","8878","1692599","52714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-447","369197","0","18069","93","7211","96097","9634","10848","2136","32","206","N/A","N/A","N/A","N/A","N/A","N/A"
"334","Spin Doctors","United States","Rock","Universal Music Group","6737","3000","8188","799382","10279624","797928652","477239","4539095","60686733","15232","N/A","N/A","N/A","N/A","N/A","N/A","38018","N/A","N/A","N/A","N/A","16515","45315","128746","0","153338","297","50363","12","1183","22442","44930","838","31582","103","4064","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"335","Sonic Youth","United States","Rock","N/A","6748","6751","10214","1353398","6733985","779519227","42112","1523299","16007497","14279","2000","280000","715967","123861024","8507","1503743","N/A","N/A","N/A","N/A","N/A","5432","219888","25265","-1552","1206175","1302","337874","52","696905","17623","11240","3863","6796","52","651","105064","24","0","0","1.1146809374786089","22.293618749572175"
"336","The Wallflowers","United States","Rock","Big Indie Labels, Universal Music Group","6813","4111","7074","946107","10146157","646554508","237613","3839521","25368772","9814","N/A","N/A","N/A","N/A","N/A","N/A","61156","0","5580","0","0","1285","18871","265","-2","221460","202","44580","19","2564","7760","29554","2084","14189","75","1711","N/A","N/A","N/A","N/A","N/A","N/A"
"337","Aterciopelados","Colombia","Rock","Big Indie Labels","6825","7359","4610","914737","4195699","488720379","-14982","1570281","15027710","5816","1000","358000","2393826","304319991","12191","1765821","12546","1938","103047","24226","106344","5966","343674","12920","-362","810441","199","182676","4","665","47","5521","2817","9755","35","757","N/A","N/A","N/A","N/A","N/A","N/A"
"338","Kiraç","Turkey","Rock","Big Indie Labels","6869","9663","6943","698892","7486394","348229712","22570","1627906","2574618","6498","1000","266000","4725074","545553435","15476","2905790","9812","-25","121487","2932","995","-1502","1646395","64557","-560","1700419","205","190000","N/A","N/A","N/A","15162","21270","784","8","64","N/A","N/A","N/A","N/A","N/A","N/A"
"339","Highly Suspect","United States","Rock","Warner Music Group","6912","5978","5579","704080","9924935","911664285","140290","2009907","17680248","10081","2000","659000","2092680","459837772","15016","3235718","35652","N/A","N/A","N/A","N/A","2233","187634","27196","37","287659","284","34745","76","26868","45382","1385","2228","13338","47","363","N/A","N/A","N/A","N/A","N/A","N/A"
"340","LCD Soundsystem","United States","Rock","Big Indie Labels, Warner Music Group","6920","4064","11375","1296771","12716706","1129110120","174030","2857251","24432429","24434","2000","125000","316398","91546935","3556","681058","13527","0","33","0","0","13527","209983","10570","-775","720374","852","174810","N/A","N/A","N/A","35801","5401","4367","51","565","57327","72","2","98","8.00158191492905","186.89299371679783"
"341","Mayonnaise","Philippines","Rock","Sony Music Entertainment","6960","5274","15187","2076666","8286271","663850043","-69676","2117392","5118850","17496","1000","438000","811119","111087463","2557","851110","8066","3035","148983","117556","507935","2109","131555","4458","3704","1223828","21","27625","N/A","N/A","N/A","207","22726","867","6","29","N/A","N/A","N/A","N/A","N/A","N/A"
