"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Big Jet Plane","2010-03-12","N/A","Rock","N/A","N/A","Angus & Julia Stone","N/A","N/A","N/A","N/A","8191","N/A","N/A","N/A","N/A","57539423.11","N/A","N/A","N/A","63678708","528030087","N/A","N/A","N/A","9979906","105504327","N/A","N/A","N/A","726","N/A","N/A","N/A","N/A","111028","383152","N/A","N/A","N/A","N/A","N/A"
"Lookin' Out My Back Door","1970-07-24","N/A","Rock","N/A","N/A","Creedence Clearwater Revival","N/A","N/A","N/A","N/A","8243","N/A","N/A","N/A","N/A","57201426.260000005","N/A","N/A","N/A","36497499","359939057","N/A","N/A","N/A","12878079","159280729","N/A","N/A","N/A","64190","N/A","N/A","N/A","N/A","66441","258883","N/A","N/A","N/A","4671","1587510"
"Fire and Rain","2014-09-29","N/A","Rock","N/A","N/A","James Taylor","N/A","N/A","N/A","N/A","8306","N/A","N/A","N/A","N/A","56823023.61","N/A","N/A","N/A","46841088","440475648","N/A","N/A","N/A","7260177","47536383","N/A","N/A","N/A","51755","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spotless (feat. The Lumineers)","2023-08-24","N/A","Country","N/A","N/A","Zach Bryan, The Lumineers","N/A","N/A","N/A","N/A","8400","N/A","N/A","N/A","N/A","56260023.624999985","N/A","N/A","N/A","72982824","365519408","N/A","N/A","N/A","1183795","6473274","N/A","N/A","N/A","1337","N/A","N/A","N/A","N/A","518304","2275952","N/A","N/A","N/A","690","174249"
"Cats in the Cradle","1974-01-01","N/A","Rock","N/A","N/A","Harry Chapin","N/A","N/A","N/A","N/A","8416","N/A","N/A","N/A","N/A","56173619","N/A","N/A","N/A","27253341","206960155","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","49049","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1788306"
"Bridge Over Troubled Water","1970-01-26","N/A","Rock","N/A","N/A","Simon & Garfunkel","N/A","N/A","N/A","N/A","8419","N/A","N/A","N/A","N/A","56156020.83500001","N/A","N/A","N/A","30257544","336831450","N/A","N/A","N/A","8872528","94914151","N/A","N/A","N/A","85062","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1303576"
"One night in Bangkok - Live","2023-09-29","N/A","Rock","N/A","N/A","Murray Head","N/A","N/A","N/A","N/A","8474","N/A","N/A","N/A","N/A","55851090.34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","493841","30881940","N/A","N/A","N/A","183558","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rubber Band Man (with Hozier)","2025-10-24","N/A","R&B","N/A","N/A","Mumford & Sons, Hozier","N/A","N/A","N/A","N/A","8674","N/A","N/A","N/A","N/A","54846043.129999995","N/A","N/A","N/A","34362881","35919570","N/A","N/A","N/A","3608022","4052168","N/A","N/A","N/A","74007","N/A","N/A","N/A","N/A","55058","55993","N/A","N/A","N/A","N/A","N/A"
"Chão de Giz","1997-03-04","N/A","Rock","N/A","N/A","Zé Ramalho","N/A","N/A","N/A","N/A","8758","N/A","N/A","N/A","N/A","54386037.730000004","N/A","N/A","N/A","33579927","173620791","N/A","N/A","N/A","20687364","56830749","N/A","N/A","N/A","36775","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Meet Me In the Woods","2015-04-06","N/A","Rock","N/A","N/A","Lord Huron","N/A","N/A","N/A","N/A","8856","N/A","N/A","N/A","N/A","53920403.95499999","N/A","N/A","N/A","68193143","229179131","N/A","N/A","N/A","723363","23489632","N/A","N/A","N/A","1521","N/A","N/A","N/A","N/A","103628","341907","N/A","N/A","N/A","N/A","N/A"
