"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"215","The Rose(더로즈)","South Korea","Rock","Big Indie Labels","4306","5468","2856972","893537999","1155708","3245878","5892","1770000","373258732","8969848","5577","2174204","1840133","301566","188876","3295","23765","N/A","N/A","N/A","N/A","N/A"
"216","Blue Man Group","United States","Rock","Big Indie Labels","4307","74701","81652","64608510","79173","721915","4330","1040000","543553402","16033700","2501","2943318","1746298","3391048","8259","N/A","56228","69666","21","0","0","11.717914881458082"
"217","Bishop Briggs","United States","Pop","Sony Music Entertainment, Big Indie Labels","4336","2825","1000122","1655544467","4223763","20435873","4209","1230000","704264324","8519368","19129","669200","423113","179280","89526","48823","7126","136414","7","0","0","4.89442540285213"
"218","Julian Casablancas","United States","Rock","Sony Music Entertainment, Warner Music Group","4345","2921","617260","1062340973","5181617","20660360","3418","106000","1282687403","7166283","16161","13616","580707","666235","193131","N/A","26516","46603","5","1","325","320.05633204906235"
"219","La Ley","Chile","Rock","Other Indie / Unsigned","4359","2407","1696451","1337946462","5135077","35094942","5924","140000","623372291","2045576","N/A","N/A","52094","1170","214841","1225","2433","N/A","N/A","N/A","N/A","N/A"
"220","Nena","Germany","Pop","BMG, Big Indie Labels, Universal Music Group","4368","2625","588568","1861380649","5498205","36228716","10106","419000","255880659","1928733","19824","N/A","193047","454180","120167","175","408","17397","31","3","164","149.71514531572424"
"221","Eraserheads","Philippines","Rock","Sony Music Entertainment","4393","2257","5535757","1342033682","3444628","6940337","7448","444","395157178","1127110","88244","6765","22481","28749","102432","130","8880","N/A","N/A","N/A","N/A","N/A"
"222","Nick Cave & The Bad Seeds","Australia","Rock","Big Indie Labels, BMG","4467","3328","1619475","1509176759","4588969","18730941","9558","510000","394876005","3198780","24234","N/A","N/A","1252767","338936","32644","3557","N/A","N/A","N/A","N/A","N/A"
"223","10cc","United Kingdom","Rock","Other Indie / Unsigned","4475","2348","918173","1026322590","6347775","41455327","13265","N/A","N/A","N/A","73127","N/A","4338","128346","41638","N/A","644","137695","7","0","0","4.525825209626257"
"224","Live","United States","Rock","Other Indie / Unsigned","4496","3361","927704","1222548209","3682669","25684051","7937","385000","240030818","1319714","15212","29753","60029","798815","83303","N/A","1172","N/A","N/A","N/A","N/A","N/A"
"225","Mor ve Ötesi","Turkey","Rock","Sony Music Entertainment","4566","3200","2680726","1182348914","4427594","9897237","8945","306000","492011139","3256310","15445","N/A","264332","511858","297204","N/A","23317","N/A","N/A","N/A","N/A","N/A"
"226","Dayseeker","United States","Rock","Universal Music Group, Big Indie Labels, Sony Music Entertainment","4582","5922","570396","664388684","2229875","11594499","7969","209000","80629096","845100","5896","180670","347098","150311","17335","N/A","5951","116908","1","1","28","4.334604562660618"
"227","Vivek","India","Rock","Big Indie Labels","4590","1907","1089487","1051230572","9668479","13060505","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1326","N/A","112792","N/A","N/A","N/A","N/A","N/A"
"228","Midnight Oil","Australia","Rock","Sony Music Entertainment","4644","3762","919159","797688264","4360000","25373450","5792","344000","392803497","1987059","42844","N/A","54909","264849","237817","2759","748","N/A","N/A","N/A","N/A","N/A"
"229","M4rkim","Brazil","Rock","Big Indie Labels","4646","15825","909358","359855679","500654","251580","2242","1140000","717933356","14922424","60145","N/A","153031","N/A","72974","549","83947","N/A","N/A","N/A","N/A","N/A"
"230","Yes'sir Days","Thailand","Rock","Big Indie Labels","4652","10216","169366","141842341","2002781","1962152","5023","93400","428388444","1574206","7782","160252","54552","394584","N/A","N/A","140358","N/A","N/A","N/A","N/A","N/A"
"231","Kino (Кино)","Russian Federation","Rock","Big Indie Labels","4687","5105","2685610","609466284","1389158","1215369","9714","701000","181087004","1970586","44771","405428","62069","12470","317554","N/A","16859","N/A","N/A","N/A","N/A","N/A"
