"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Dream On","1973-01-05","N/A","Rock","N/A","N/A","Aerosmith","N/A","N/A","N/A","N/A","648","N/A","N/A","N/A","N/A","294471436.66999996","N/A","N/A","N/A","372102","1444612","N/A","N/A","N/A","53319208","340233097","N/A","N/A","N/A","232247","N/A","N/A","N/A","N/A","312269","948315","N/A","N/A","N/A","0","16215927"
"You Shook Me All Night Long","1980-07-24","N/A","Rock","N/A","N/A","AC/DC","N/A","N/A","N/A","N/A","704","N/A","N/A","N/A","N/A","282381741.04","N/A","N/A","N/A","222244302","1655546289","N/A","N/A","N/A","42956129","462930377","N/A","N/A","N/A","257770","N/A","N/A","N/A","N/A","317972","1692019","N/A","N/A","N/A","14950","6778481"
"One Last Breath","2001-01-01","N/A","Rock","N/A","N/A","Creed","N/A","N/A","N/A","N/A","752","N/A","N/A","N/A","N/A","275856372.805","N/A","N/A","N/A","240794006","760014959","N/A","N/A","N/A","92053130","509593327","N/A","N/A","N/A","42042","N/A","N/A","N/A","N/A","1847128","2971139","N/A","N/A","N/A","N/A","N/A"
"Still Loving You","2011-11-04","N/A","Rock","N/A","N/A","Scorpions","N/A","N/A","N/A","N/A","800","N/A","N/A","N/A","N/A","268131329.61999997","N/A","N/A","N/A","17771109","235365654","N/A","N/A","N/A","143510823","1070237276","N/A","N/A","N/A","217996","N/A","N/A","N/A","N/A","30758","42908","N/A","N/A","N/A","N/A","N/A"
"Crazy Little Thing Called Love - Remastered 2011","1980-06-26","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","805","N/A","N/A","N/A","N/A","267693247.07999998","N/A","N/A","N/A","128092610","1211264691","N/A","N/A","N/A","8931376","232610592","N/A","N/A","N/A","217185","N/A","N/A","N/A","N/A","187727","2131836","N/A","N/A","N/A","N/A","N/A"
"Sweet Home Alabama","1974-04-15","N/A","Rock","N/A","N/A","Lynyrd Skynyrd","N/A","N/A","N/A","N/A","846","N/A","N/A","N/A","N/A","259550708.62499994","N/A","N/A","N/A","135384","1086984","N/A","N/A","N/A","37724984","222427141","N/A","N/A","N/A","299588","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Paradise City","1987-07-21","N/A","Rock","N/A","N/A","Guns N' Roses","N/A","N/A","N/A","N/A","876","N/A","N/A","N/A","N/A","255443517.05","N/A","N/A","N/A","187863273","1417719465","N/A","N/A","N/A","54581385","917537712","N/A","N/A","N/A","221721","N/A","N/A","N/A","N/A","349778","1889493","N/A","N/A","N/A","N/A","N/A"
"Knockin' On Heaven's Door","1991-09-18","N/A","Rock","N/A","N/A","Guns N' Roses","N/A","N/A","N/A","N/A","978","N/A","N/A","N/A","N/A","241207630.04","N/A","N/A","N/A","176920166","1030566956","N/A","N/A","N/A","63353742","155473938","N/A","N/A","N/A","191326","N/A","N/A","N/A","N/A","542667","2234307","N/A","N/A","N/A","17191","5612067"
"I Want To Break Free - Single Remix","1984-02-27","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","980","N/A","N/A","N/A","N/A","240940544.77","N/A","N/A","N/A","66408187","753030875","N/A","N/A","N/A","61846705","732021329","N/A","N/A","N/A","324816","N/A","N/A","N/A","N/A","156587","2259156","N/A","N/A","N/A","N/A","N/A"
"More Than Words","1990-01-01","N/A","Rock","N/A","N/A","Extreme","N/A","N/A","N/A","N/A","994","N/A","N/A","N/A","N/A","239401472.925","N/A","N/A","N/A","119249061","881570118","N/A","N/A","N/A","90174838","1172589989","N/A","N/A","N/A","278554","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Smoke On The Water - Remastered 2012","1972-03-25","N/A","Rock","N/A","N/A","Deep Purple","N/A","N/A","N/A","N/A","1115","N/A","N/A","N/A","N/A","223205907.82","N/A","N/A","N/A","10773","127370","N/A","N/A","N/A","19411801","38480084","N/A","N/A","N/A","163111","N/A","N/A","N/A","N/A","98235","3035268","N/A","N/A","N/A","N/A","N/A"
"We Are The Champions - Remastered 2011","1977-10-28","N/A","Rock","N/A","N/A","Queen","N/A","N/A","N/A","N/A","1126","N/A","N/A","N/A","N/A","221500238.63499996","N/A","N/A","N/A","93461136","896178988","N/A","N/A","N/A","10810881","358054016","N/A","N/A","N/A","236068","N/A","N/A","N/A","N/A","189340","780096","N/A","N/A","N/A","N/A","N/A"
"The Final Countdown","1986-01-01","N/A","Rock","N/A","N/A","Europe","N/A","N/A","N/A","N/A","1144","N/A","N/A","N/A","N/A","219772322.17000002","N/A","N/A","N/A","83473","657789","N/A","N/A","N/A","111454803","1569489584","N/A","N/A","N/A","434758","N/A","N/A","N/A","N/A","114876","700192","N/A","N/A","N/A","0","9208815"
