"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Home","2009-07-12","N/A","Rock","N/A","N/A","Edward Sharpe & The Magnetic Zeros","N/A","N/A","N/A","N/A","2323","N/A","N/A","N/A","N/A","143370047.71999997","N/A","N/A","N/A","140550099","1176552416","N/A","N/A","N/A","41601890","333401146","N/A","N/A","N/A","781","N/A","N/A","N/A","N/A","161327","16077982","N/A","N/A","N/A","N/A","N/A"
"The Adults Are Talking","2020-04-10","N/A","Rock","N/A","N/A","The Strokes","N/A","N/A","N/A","N/A","2328","N/A","N/A","N/A","N/A","143243783.695","N/A","N/A","N/A","158192407","758802417","N/A","N/A","N/A","22357942","167329405","N/A","N/A","N/A","10687","N/A","N/A","N/A","N/A","191186","830068","N/A","N/A","N/A","0","1949169"
"R U Mine?","2013-01-01","N/A","Rock","N/A","N/A","Arctic Monkeys","N/A","N/A","N/A","N/A","2329","N/A","N/A","N/A","N/A","143243087.245","N/A","N/A","N/A","163868901","1364994491","N/A","N/A","N/A","13886998","457544093","N/A","N/A","N/A","24759","N/A","N/A","N/A","N/A","186863","1068337","N/A","N/A","N/A","2805","1986410"
"What You Know","2010-02-17","N/A","Rock","N/A","N/A","Two Door Cinema Club","N/A","N/A","N/A","N/A","2529","N/A","N/A","N/A","N/A","135597386.07999998","N/A","N/A","N/A","150046515","1126513784","N/A","N/A","N/A","13821997","178390997","N/A","N/A","N/A","28087","N/A","N/A","N/A","N/A","713225","13436444","N/A","N/A","N/A","N/A","N/A"
"Fluorescent Adolescent","2007-04-22","N/A","Rock","N/A","N/A","Arctic Monkeys","N/A","N/A","N/A","N/A","2581","N/A","N/A","N/A","N/A","133615752.16499999","N/A","N/A","N/A","146676669","1160097193","N/A","N/A","N/A","14300716","229182407","N/A","N/A","N/A","32548","N/A","N/A","N/A","N/A","83079","372701","N/A","N/A","N/A","N/A","N/A"
"All I Want","2013-05-14","N/A","Rock","N/A","N/A","Kodaline","N/A","N/A","N/A","N/A","2692","N/A","N/A","N/A","N/A","130134175.47500001","N/A","N/A","N/A","137576771","1407408625","N/A","N/A","N/A","31382712","377759292","N/A","N/A","N/A","7814","N/A","N/A","N/A","N/A","52863","262778","N/A","N/A","N/A","8452","4759609"
"You Get Me So High","2018-11-02","N/A","Rock","N/A","N/A","The Neighbourhood","N/A","N/A","N/A","N/A","2871","N/A","N/A","N/A","N/A","124081936.77999997","N/A","N/A","N/A","161393104","979205129","N/A","N/A","N/A","1578138","26359575","N/A","N/A","N/A","2243","N/A","N/A","N/A","N/A","110549","653049","N/A","N/A","N/A","0","642152"
"o,Tuan","2024-08-30","N/A","Rock","N/A","N/A",".Feast","N/A","N/A","N/A","N/A","2903","N/A","N/A","N/A","N/A","123011018.295","N/A","N/A","N/A","119864167","210097873","N/A","N/A","N/A","35716989","39255443","N/A","N/A","N/A","571","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","307","5485"
"Daddy Issues","2015-10-30","N/A","Rock","N/A","N/A","The Neighbourhood","N/A","N/A","N/A","N/A","2906","N/A","N/A","N/A","N/A","122912335.00500001","N/A","N/A","N/A","133578225","2078424673","N/A","N/A","N/A","14356652","357527353","N/A","N/A","N/A","5098","N/A","N/A","N/A","N/A","227555","1947788","N/A","N/A","N/A","0","3754748"
"Electric Feel","2007-12-14","N/A","Rock","N/A","N/A","MGMT","N/A","N/A","N/A","N/A","2938","N/A","N/A","N/A","N/A","122237101.655","N/A","N/A","N/A","137351269","1053788846","N/A","N/A","N/A","7390726","219428005","N/A","N/A","N/A","36582","N/A","N/A","N/A","N/A","355144","5151924","N/A","N/A","N/A","0","3652409"
