"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"120","Zé Ramalho","Brazil","Rock","BMG","1190","2854","3664","3111268","5686705","1341451519","51296","4819134","16370893","633","10000","3410000","4702218","1975317364","21096","11345273","11324","N/A","N/A","N/A","N/A","3789","1038299","661","-25","2690565","967","1593746","27","10358","2136","10","877","7697","13","684","141139","14","0","0","0.1848143231238567","3.6962864624771345"
"121","The Verve","United Kingdom","Rock","Universal Music Group","1204","837","7029","2904864","9630682","2380265205","226934","15809103","98524502","1434","0","1010000","2837982","1662313015","13165","7878084","N/A","N/A","N/A","N/A","N/A","733","200785","2240","0","1599526","0","1641776","N/A","N/A","N/A","15","672","8812","94","2753","N/A","N/A","N/A","N/A","N/A","N/A"
"122","Lord Huron","United States","Rock","Universal Music Group","1242","325","6430","2348005","20500637","6122308039","-393036","23954182","100436095","2300","0","1360000","3572537","1225480151","19352","12580916","11716","99","198301","1635","0","573","448677","8739","19","228821","311","113688","65","37727","56000","6","3491","1234","53","316","N/A","N/A","N/A","N/A","N/A","N/A"
"123","Alejandra Guzman","Mexico","Rock","Big Indie Labels","1258","1714","4907","4349713","6596644","2486127494","-64944","6365591","33215663","1653","0","2380000","1781908","1990458744","5430","7815642","3042","292","990442","2750","0","-316","3936104","1056","-1547","8281752","142","901199","N/A","N/A","N/A","274","1438","4429","29","670","N/A","N/A","N/A","N/A","N/A","N/A"
"124","Jimi Hendrix","United States","Rock","Sony Music Entertainment, Warner Music Group","1280","978","9330","7584178","6216997","3987264515","81368","7044147","81665212","3221","0","1420000","1012284","736171924","7099","5749233","N/A","0","22850","0","0","1243","1377956","6498","-1246","7512156","1382","4235608","51","1303623","27425","16","540","9770","73","1801","N/A","N/A","N/A","N/A","N/A","N/A"
"125","Noah","Indonesia","Rock","Big Indie Labels","1284","1842","25720","6058446","7667642","1457529482","173083","5565113","3787515","1611","0","3460000","4784423","1700096131","9352","14067228","3777","-713","1232898","2918","0","-366","1129688","290","-405","4117304","N/A","N/A","3","19471","3812","2","5528","644","4","81","N/A","N/A","N/A","N/A","N/A","N/A"
"126","Airbag","Argentina","Rock","Big Indie Labels, Universal Music Group","1287","2469","13343","1883771","12041599","1560462554","29966","4539357","15053104","1202","0","1330000","7506600","1214441008","25483","6550116","1718","2309","678043","11212","0","3804","1313559","36313","0","775527","179","33162","10","3116","1576","71","3113","1208","25","186","N/A","N/A","N/A","N/A","N/A","N/A"
"127","LP","United States","Rock","BMG, Big Indie Labels, Universal Music Group, Sony Music Entertainment","1289","1562","2974","2891124","7106851","2573417954","-5976","8392418","17418549","1214","0","4940000","4841321","4019573644","20429","25945595","3599","638","1753659","13536","0","-1743","1854021","1842","-566","1243752","253","333096","41","51546","51490","42","1266","4669","74","1433","23245","N/A","N/A","N/A","N/A","N/A"
"128","Tokio Hotel","Germany","Rock","Sony Music Entertainment, Big Indie Labels, Universal Music Group","1290","4259","14436","1619087","5047898","952706325","-16353","2741114","12454511","2123","20000","2010000","4499606","683110008","88677","11444197","793","34549","4268457","993422","0","15868","1702538","184893","1092","2921902","376","398664","N/A","N/A","N/A","20","2240","2921","68","601","60762","6","0","0","7.12987466149938","16.430560439812282"
"129","Soundgarden","United States","Rock","Big Indie Labels, Universal Music Group","1313","991","11361","5365220","8490309","2640988198","53738","9620337","77563058","2829","2000","974000","1260761","694893964","9335","4833140","N/A","N/A","N/A","N/A","N/A","1495","827810","1153","-1182","3037543","808","1313928","103","49752","23368","576","619","8793","73","1569","N/A","N/A","N/A","N/A","N/A","N/A"
"130","Caifanes","Mexico","Rock","Sony Music Entertainment","1326","916","14990","5420081","14716877","3351532405","31864","9595968","31725514","2629","N/A","N/A","N/A","N/A","N/A","N/A","3491","N/A","N/A","N/A","N/A","786","654167","13634","-53","623577","378","849719","N/A","N/A","N/A","137","1731","3574","27","525","N/A","N/A","N/A","N/A","N/A","N/A"
"131","RADWIMPS","Japan","Rock","Universal Music Group","1332","1594","13962","5128203","14443472","3485636978","43500","7474229","8797310","1174","0","3510000","4485575","2321495395","23121","19994487","2304","-211","761480","6133","0","86","1162476","702","-322","340848","130","69776","0","7264","0","3326","19258","170","12","27","N/A","N/A","N/A","N/A","N/A","N/A"
"132","Yorushika","Japan","Rock","Universal Music Group, Warner Music Group","1333","2111","11264","3509384","13674263","2469777661","-11601","4896054","9687713","1315","0","3880000","7467197","2213250688","49901","18094392","5019","N/A","N/A","N/A","N/A","6631","788727","39008","N/A","N/A","65","15843","N/A","N/A","N/A","753","44559","85","6","11","N/A","N/A","N/A","N/A","N/A","N/A"
"133","Chicago","United States","Rock","Warner Music Group, BMG, Big Indie Labels, Universal Music Group","1354","863","6580","4865857","10317243","2912934029","64954","11802130","83126221","3732","1000","546000","2300107","933301548","11255","5525016","18836","N/A","N/A","N/A","N/A","34","114508","298","5","1815170","370","423239","N/A","N/A","N/A","8846","113","29769","115","4727","N/A","N/A","N/A","N/A","N/A","N/A"
"134","Daryl Hall & John Oates","United States","Rock","Sony Music Entertainment, BMG, Big Indie Labels","1367","362","8319","3035519","14624153","4467724397","560004","23775404","139971939","1994","1000","911000","1961843","980321126","9941","6426639","19500","124","273634","389","0","-42","202803","26","-298","1381744","350","251406","28","8338","37109","2989","10992","560","40","254","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"135","The Beach Boys","United States","Rock","Universal Music Group, Big Indie Labels","1368","673","8249","5260935","11471193","5212439269","241955","11540225","97706499","3131","1000","535000","1315484","809117860","9498","5772952","4867","260","311860","-11674","0","389","279431","5317","460","1977080","675","708181","42","20596","24822","2810","129","24061","103","3742","71422","322","1","2","4.426779550985871","87.7110340189879"
"136","Heart","United States","Rock","Big Indie Labels, Universal Music Group","1375","1061","6302","3143406","7896376","2381269894","-13679","10164449","126074735","1332","0","1140000","3392430","1419209625","14495","7327780","13668","N/A","N/A","N/A","N/A","298","151346","15","-529","2369769","0","109280","N/A","N/A","N/A","74","161","22376","105","4006","N/A","N/A","N/A","N/A","N/A","N/A"
